,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,amount,high-low,prevclose-low,high-prevclose,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252,low_close_high,d_low_close_high,mean6,mean12,dif,dea,macd,sma_low_close_high9,sma_low_close_high6,std_vol6,ddif_vol,norm_ATR,sq5_low_close_open_high
0,AO,2023-06-19,AO2311,2730.0,2721.0,2766.0,2680.0,0,91505,2665.0,2713.0,2665.0,11188,3038.0,2291.0,2730,20,0.02101313320825516,1830100,86.0,-15.0,101.0,,,,,,,,,,,,,,0.003675119441381845,0.006247703050349137,0.029768467475192944,0.02462330025725836,0.025725836089672913,,,,0.016538037486218304,0.015067989709665565,,,,,,,248985105.0,,,,,,,,,,,,,,,,-0.046511627906976744,,,,0.0,0.0,0.0,,,,,0.03711870635795663,-0.926279109053525
1,,2023-06-20,AO2311,2713.0,2731.0,2747.0,2712.0,0,62189,2721.0,2733.0,2713.0,10400,2902.0,2523.0,2713,20,0.003675119441381845,1243780,35.0,9.0,26.0,,,,,,,,,,,,,,0.002563163676309044,0.025997803002563165,0.020871475649945074,0.021969974368363236,0.024899304284145003,,,,0.005858659831563529,0.006957158549981692,,,,,,,169838159.0,,,,,,,,,,,,,,,,0.08571428571428572,0.13222591362126246,,,0.7977207977210128,0.15954415954420256,1.2763532763536205,,,,,0.012815818381545222,-1.1488784582989338
2,,2023-06-21,AO2311,2726.0,2738.0,2742.0,2715.0,0,51494,2731.0,2731.0,2733.0,7871,2924.0,2541.0,2726,20,0.002563163676309044,1029880,27.0,16.0,11.0,,,,,,,,,,,,,,0.02337472607742878,0.018261504747991233,0.01935719503287071,0.022279035792549307,0.02702702702702703,,,,0.0014609203798392988,0.008400292184075968,,,,,,,140990572.0,,,,,,,,,,,,,,,,0.7037037037037037,0.617989417989418,,,1.972029447812929,0.5220412171979478,2.8999764612299623,,,,,0.009861212563915266,-5.625095281327439
3,,2023-06-26,AO2311,2730.0,2802.0,2816.0,2721.0,0,109336,2738.0,2780.0,2731.0,36851,2922.0,2539.0,2730,20,0.02337472607742878,2186720,95.0,17.0,78.0,,,,,,,,,,,,,,-0.004996431120628123,-0.0039257673090649535,-0.0010706638115631692,0.0035688793718772305,0.008565310492505354,,,,0.004996431120628123,0.028907922912205567,,,,,,,306359472.0,,,,,,,,,,,,,,,,0.7052631578947368,0.001559454191033094,,,7.975011672838718,2.012635308326102,11.924752729025233,,,,,0.03390435403283369,-5.079600574679078
4,,2023-06-27,AO2311,2797.0,2788.0,2837.0,2766.0,0,166881,2802.0,2801.0,2780.0,56895,2974.0,2585.0,2824,20,-0.004996431120628123,3337620,71.0,36.0,35.0,0.01241527396955555,,,,,,,,,,,,,0.0010760401721664275,0.003945480631276901,0.00860832137733142,0.013629842180774749,0.010043041606886656,,,,0.01757532281205165,0.007890961262553802,,,,,,,465264228.0,,,,0.9817386132988621,,,,,,0.5659622549786009,,,,,,-0.38028169014084506,-1.0855448480355818,,,11.470510434066,3.904210333474082,15.132600201183836,,,,,0.025466284074605453,-0.4562733313695439
5,,2023-06-28,AO2311,2791.0,2791.0,2805.0,2775.0,0,93064,2788.0,2788.0,2801.0,70248,2997.0,2604.0,2791,20,0.0010760401721664275,1861280,30.0,13.0,17.0,0.010730263161455998,,,,,,,,,,,,,0.002866356144750985,0.007524184879971337,0.012540308133285561,0.00895736295234683,0.012182013615191688,0.009341986205739419,1.0380525529484137,0.025107604017216643,0.005016123253314225,0.00573271228950197,,,,,,,259741624.0,,,,0.9502013466207712,,,,,,-0.5166816602076962,,,,,,0.06666666666666667,0.4469483568075117,0.010560617947015905,,14.317747236348168,5.9869177140489,16.661659044598537,,0.7070063694267515,0.42692976296076035,,0.010748835542816195,-1.1428571428571428
6,,2023-06-29,AO2311,2782.0,2799.0,2811.0,2782.0,0,76690,2791.0,2795.0,2788.0,81331,2983.0,2592.0,2787,20,0.002866356144750985,1533800,29.0,9.0,20.0,0.01076388131362742,,,,,,,,,,,,,0.004644515898535191,0.00964630225080386,0.006073597713469096,0.009289031797070382,0.012504465880671669,0.15581750193415284,1.0097226967315795,0.01827302042278753,0.004287245444801715,0.006073597713469096,,,,,,,214655310.0,,,,0.9450324056149418,,,,,,-1.974276952856277,,,,,,0.1724137931034483,0.10574712643678162,0.008709231785692717,,17.02349974826393,8.194234120891906,17.658531254744048,,0.618733738074588,0.4462499833376451,,0.010360843158270811,-1.3741647735120592
7,,2023-06-30,AO2311,2794.0,2812.0,2824.0,2793.0,0,75550,2799.0,2807.0,2795.0,80875,2990.0,2599.0,2805,20,0.004644515898535191,1511000,31.0,6.0,25.0,0.010687177498080543,,,,,,,,,,,,,0.004978662873399715,0.001422475106685633,0.004623044096728307,0.007823613086770981,0.005689900426742532,0.31367844569044206,0.8976159152106823,0.02000714540907467,0.004267425320056899,0.006756756756756757,,,,,,,212446600.0,,,,1.5584355933589649,,,,,,0.5012308774813746,,,,,,0.22580645161290322,0.05339265850945493,0.008487746563060394,,19.986428357334717,10.552672968180469,18.867510778308496,,0.7233326631263971,0.4183385621444084,,0.011024182076813657,-1.5333022820887405
8,,2023-07-03,AO2311,2812.0,2826.0,2831.0,2811.0,0,55043,2812.0,2820.0,2807.0,86524,3003.0,2610.0,2815,20,0.004978662873399715,1100860,20.0,1.0,19.0,0.0040623500037826965,,,,,,,,,,,,,-0.003538570417551309,-0.00035385704175513094,0.0028308563340410475,0.0007077140835102619,-0.0024769992922859165,-0.7186366644606221,0.614194744976816,0.0035561877667140826,0.0017692852087756545,0.005307855626326964,,,,,,,155551518.0,,,,1.6988042287970937,,,,,,0.7576895305624675,,,,,,0.5,0.27419354838709675,0.008205494113449951,,23.196854722192256,13.081509318982828,20.230690806418856,0.9299363057324841,0.8124435071480568,0.4078246840809954,,0.007077140835102618,-2.9264226458703178
9,,2023-07-04,AO2311,2820.0,2816.0,2835.0,2810.0,0,53993,2826.0,2824.0,2820.0,91724,3017.0,2622.0,2825,20,-0.003538570417551309,1079860,25.0,16.0,9.0,0.0034693582981472695,,,,,,,,,,,,,0.0031960227272727275,0.006392045454545455,0.004261363636363636,0.001065340909090909,0.001065340909090909,-2.050905655578366,0.4025357126346447,0.01132342533616419,0.006747159090909091,0.002130681818181818,,,,,,,152044288.0,,,,0.23047994838584834,,,,,,-0.16923411814612857,,,,,,-0.52,-1.02,0.0038022813688212143,,24.650073615203382,15.395222178226941,18.509702873952882,0.7497425334706488,0.4294484594961391,0.48199110370514386,,0.00887784090909091,-0.3180386773639505
