,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252
0,BU,2013-10-09,BU1402,4598.0,4476.0,4658.0,4470.0,0,318682,4458.0,4532.0,4458.0,65246,4814.0,4100.0,4598.0,10,0.004037685060565276,,,,,,,,,,,,,,0.00580875781948168,-0.002234137622877569,-0.0071492403932082215,-0.007596067917783735,-0.009830205540661306,,,,0.04066130473637176,0.0013404825737265416,,,,,,,1426420632.0,,,,,,,,,,,,,,,
1,,2013-10-10,BU1402,4460.0,4502.0,4522.0,4452.0,0,204880,4476.0,4494.0,4532.0,54008,4712.0,4350.0,4460.0,10,0.00580875781948168,,,,,,,,,,,,,,-0.007996446023989337,-0.01288316303864949,-0.01332741003998223,-0.015548645046645935,-0.020435362061306087,,,,0.00444247001332741,0.011106175033318524,,,,,,,922369760.0,,,,,,,,,,,,,,,
2,,2013-10-11,BU1402,4510.0,4466.0,4524.0,4456.0,0,180100,4502.0,4492.0,4494.0,60936,4672.0,4314.0,4510.0,10,-0.007996446023989337,,,,,,,,,,,,,,-0.0049261083743842365,-0.005373936408419167,-0.00761307657859382,-0.012539184952978056,-0.013882669055082848,,,,0.012987012987012988,0.0022391401701746527,,,,,,,804326600.0,,,,,,,,,,,,,,,
3,,2013-10-14,BU1402,4476.0,4444.0,4490.0,4434.0,0,148998,4466.0,4456.0,4492.0,67386,4670.0,4312.0,4476.0,10,-0.0049261083743842365,,,,,,,,,,,,,,-0.00045004500450045,-0.0027002700270027003,-0.00765076507650765,-0.009000900090009001,0.0018001800180018,,,,0.010351035103510351,0.0022502250225022503,,,,,,,662147112.0,,,,,,,,,,,,,,,
4,,2013-10-15,BU1402,4448.0,4442.0,4494.0,4436.0,0,201544,4444.0,4462.0,4456.0,63700,4634.0,4276.0,4448.0,10,-0.00045004500450045,0.005830309711452634,,,,,,,,,,,,,-0.0022512381809995496,-0.007203962179198559,-0.008554705087798289,0.0022512381809995496,-0.00045024763619990995,,,,0.01170643854119766,0.0013507429085997298,,,,,,,895258448.0,,,,1.5501986779488695,,,,,,0.6349281315038925,,,,,
5,,2013-10-16,BU1402,4428.0,4432.0,4484.0,4428.0,0,206374,4442.0,4452.0,4462.0,67078,4640.0,4282.0,4428.0,10,-0.0022512381809995496,0.005195065346882893,,,,,,,,,,,,,-0.004963898916967509,-0.00631768953068592,0.004512635379061372,0.0018050541516245488,0.0009025270758122744,-0.5572381217004724,0.028759811616954473,-0.010805943268797838,0.011732851985559567,0.0009025270758122744,,,,,,,914649568.0,,,,-1.400125805303798,,,,,,1.312564672943933,,,,,
6,,2013-10-17,BU1402,4448.0,4410.0,4460.0,4408.0,0,142864,4432.0,4434.0,4452.0,73002,4630.0,4272.0,4448.0,10,-0.004963898916967509,0.002887456501693045,,,,,,,,,,,,,-0.0013605442176870747,0.009523809523809525,0.006802721088435374,0.0058956916099773245,0.010884353741496598,-0.30050297033541046,0.2831628849995528,-0.012184115523465704,0.011337868480725623,0.00045351473922902497,,,,,,,630030240.0,,,,-0.18450544796100782,,,,,,-0.19373160074356047,,,,,
7,,2013-10-18,BU1402,4412.0,4404.0,4430.0,4402.0,0,88740,4410.0,4414.0,4434.0,75164,4610.0,4256.0,4412.0,10,-0.0013605442176870747,0.002067473840659781,,,,,,,,,,,,,0.010899182561307902,0.008174386920980926,0.007266121707538601,0.01226158038147139,0.00045413260672116256,-0.6394893045133834,0.19489876989671515,-0.012244897959183673,0.005903723887375113,0.00045413260672116256,,,,,,,390810960.0,,,,-0.4886276070894403,,,,,,-0.4160273010355604,,,,,
8,,2013-10-21,BU1402,4410.0,4452.0,4466.0,4406.0,0,154962,4404.0,4448.0,4414.0,58838,4590.0,4236.0,4410.0,10,0.010899182561307902,0.006120706652973861,,,,,,,,,,,,,-0.0026954177897574125,-0.0035938903863432167,0.0013477088948787063,-0.010332434860736747,-0.04132973944294699,0.06720757268424611,-0.11372465542014794,-0.007720254314259764,0.0031446540880503146,0.010332434860736747,,,,,,,689890824.0,,,,-0.6161505296936997,,,,,,-0.14534559234801037,,,,,
9,,2013-10-22,BU1402,4444.0,4440.0,4454.0,4428.0,0,57890,4452.0,4436.0,4448.0,56140,4624.0,4270.0,4444.0,10,-0.0026954177897574125,0.006276727641786095,,,,,,,,,,,,,-0.0009009009009009009,0.004054054054054054,-0.0076576576576576575,-0.03873873873873874,-0.038288288288288286,-0.9270272712019721,-0.1284883918556035,0.0004492362982929021,0.003153153153153153,0.002702702702702703,,,,,,,257031600.0,,,,0.023811876100352916,,,,,,-0.10472513326724604,,,,,
