date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma20,sigma40,sigma252,sigma126,sigma63,sigma5
2010-01-04,B1009,4686.145755805657,4733.179287259276,4737.767924474263,4686.145755805657,0,34,4686.145755805657,4721.707694221807,4684.99859650191,92,4873.132722316384,4498.011629991182,4085,10,0.01003671970624237,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,B1009,4727.443490740542,4728.590650044289,4757.269632637958,4686.145755805657,0,58,4733.179287259276,4736.620765170516,4721.707694221807,90,4910.988979340029,4533.573568407333,4121,10,-0.0009694619486185003,,,,,,
2010-01-06,B1009,4717.11905700682,4841.012261811475,4875.427040923878,4717.11905700682,0,72,4728.590650044289,4804.303164091577,4736.620765170516,110,4927.049209592484,4547.339480052295,4112,10,0.02377486656962638,0.007782545683123102,0.007782545683123102,0.007782545683123102,0.007782545683123102,0.007782545683123102,0.007782545683123102
2010-01-07,B1009,4806.59748269907,4668.938366249455,4860.51396997517,4612.727560365862,0,204,4841.012261811475,4753.828154726718,4804.303164091577,152,4997.025927121039,4612.727560365862,4190,10,-0.03554502369668262,0.01239727461769004,0.01239727461769004,0.01239727461769004,0.01239727461769004,0.01239727461769004,0.01239727461769004
2010-01-08,B1009,4645.995180174519,4640.259383655785,4703.353145361859,4588.63721498718,0,70,4668.938366249455,4634.523587137051,4753.828154726718,148,4944.256599148686,4564.546869608497,4050,10,-0.00614250614250604,0.02535443532982241,0.02535443532982241,0.02535443532982241,0.02535443532982241,0.02535443532982241,0.02535443532982241
2010-01-11,B1009,4688.440074413151,4701.058826754365,4702.205986058112,4659.76109181948,0,72,4640.259383655785,4679.262799983177,4634.523587137051,130,4820.363394344032,4449.830939233817,4087,10,0.01310259579728057,0.02209327234085842,0.02209327234085842,0.02209327234085842,0.02209327234085842,0.02209327234085842,0.02209327234085842
2010-01-12,B1009,4640.259383655785,4636.817905744545,4674.674162768189,4634.523587137051,0,58,4701.058826754365,4656.31961390824,4679.262799983177,130,4867.396925797651,4492.275833472449,4045,10,-0.01366520253782329,0.02067247627039133,0.02067247627039133,0.02067247627039133,0.02067247627039133,0.02067247627039133,0.0225408554226726
2010-01-13,B1009,4576.018462645965,4559.958232393509,4577.165621949712,4502.60026720617,0,48,4636.817905744545,4546.192320748548,4656.31961390824,128,4843.306580418968,4470.47980670126,3989,10,-0.0165759524987631,0.01963784765334294,0.01963784765334294,0.01963784765334294,0.01963784765334294,0.01963784765334294,0.0232194532038837
2010-01-14,B1009,4600.108808024647,4559.958232393509,4600.108808024647,4559.958232393509,0,52,4559.958232393509,4570.282666127231,4546.192320748548,126,4728.590650044289,4364.941150756555,4010,10,0.0,0.01896192103697431,0.01896192103697431,0.01896192103697431,0.01896192103697431,0.01896192103697431,0.01762282127187753
2010-01-15,B1009,4574.871303342218,4551.928117267282,4588.63721498718,4551.928117267282,0,112,4559.958232393509,4573.724144038471,4570.282666127231,130,4753.828154726718,4387.88433683149,3988,10,-0.001761006289308147,0.01777026469039741,0.01777026469039741,0.01777026469039741,0.01777026469039741,0.01777026469039741,0.01185861247064957
2010-01-18,B1009,4548.486639356041,4549.633798659788,4559.958232393509,4525.543453281106,0,22,4551.928117267282,4546.192320748548,4573.724144038471,132,4757.269632637958,4391.32581474273,3965,10,-0.0005040322580645077,0.01675775028078469,0.01675775028078469,0.01675775028078469,0.01675775028078469,0.01675775028078469,0.01188318566278426
2010-01-19,B1009,4559.958232393509,4549.633798659788,4574.871303342218,4548.486639356041,0,14,4549.633798659788,4559.958232393509,4546.192320748548,128,4728.590650044289,4364.941150756555,3975,10,0.0,0.01591253004253669,0.01591253004253669,0.01591253004253669,0.01591253004253669,0.01591253004253669,0.007961228376412327
2010-01-20,B1009,4565.694028912244,4496.864470687436,4585.195737075939,4487.687196257461,0,176,4549.633798659788,4518.660497458625,4559.958232393509,124,4742.35656168925,4377.559903097769,3980,10,-0.01159858799798286,0.01519010331213225,0.01519010331213225,0.01519010331213225,0.01519010331213225,0.01519010331213225,0.007195846096695126
2010-01-21,B1009,4485.392877649968,4537.015046318574,4537.015046318574,4485.392877649968,0,54,4496.864470687436,4511.777541636145,4518.660497458625,122,4699.911667450619,4338.556486770378,3910,10,0.00892857142857148,0.01476769721938677,0.01476769721938677,0.01476769721938677,0.01476769721938677,0.01476769721938677,0.004986040689196379
2010-01-22,B1009,4523.249134673612,4516.366178851132,4530.132090496093,4508.336063724903,0,22,4537.015046318574,4517.513338154879,4511.777541636145,120,4693.028711628138,4331.673530947897,3943,10,-0.004551201011377926,0.01454593274536399,0.01454593274536399,0.01454593274536399,0.01454593274536399,0.01454593274536399,0.007292648167316667
2010-01-25,B1009,4519.807656762372,4558.811073089762,4563.39971030475,4508.336063724903,0,30,4516.366178851132,4535.867887014827,4517.513338154879,122,4698.764508146872,4337.409327466631,3940,10,0.009398018796037433,0.01402985701802028,0.01402985701802028,0.01402985701802028,0.01402985701802028,0.01402985701802028,0.007471248447392348
