,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,amount,high-low,prevclose-low,high-prevclose,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252,low_close_high,d_low_close_high,mean6,mean12,dif,dea,macd,sma_low_close_high9,sma_low_close_high6,std_vol6,ddif_vol,norm_ATR,sq5_low_close_open_high
0,EG,2018-12-10,EG1906,5600.0,5674.0,5781.0,5550.0,0,674676,6000.0,5687.0,6000.0,69526,6480.0,5520.0,5600,10,-0.05433333333333333,6746760,231.0,450.0,-219.0,,,,,,,,,,,,,,-0.02344025378921396,-0.022911526260133944,-0.014628128304547057,-0.011984490659146986,-0.00986958054282693,,,,0.01885794853718717,0.021854071201973916,,,,,,,3828111624.0,,,,,,,,,,,,,,,,0.0735930735930736,,,,0.0,0.0,0.0,,,,,0.07930912936200211,-1.0852539749717556
1,,2018-12-11,EG1906,5618.0,5541.0,5680.0,5497.0,0,481954,5674.0,5569.0,5687.0,83122,5971.0,5403.0,5618,10,-0.02344025378921396,4819540,183.0,177.0,6.0,,,,,,,,,,,,,,0.0005414185165132648,0.009023641941887746,0.01173073452445407,0.013896408590507128,0.015520664140046924,,,,0.025085724598447934,0.007940804908861216,,,,,,,2670507114.0,,,,,,,,,,,,,,,,-0.5191256830601093,-0.5927187566531829,,,-10.609686609686833,-2.1219373219373665,-16.975498575498932,,,,,0.03302652950730915,-0.3391609161802845
2,,2018-12-12,EG1906,5580.0,5544.0,5598.0,5513.0,0,301986,5541.0,5551.0,5569.0,88512,5847.0,5291.0,5580,10,0.0005414185165132648,3019860,85.0,28.0,57.0,,,,,,,,,,,,,,0.008477633477633478,0.011183261183261184,0.013347763347763348,0.014971139971139972,0.013708513708513708,,,,0.00974025974025974,0.005591630591630592,,,,,,,1674210384.0,,,,,,,,,,,,,,,,-0.27058823529411763,0.24853744776599168,,,-18.561894789814687,-5.409928815512831,-26.30393194860371,,,,,0.015331890331890332,-0.5929564815839073
3,,2018-12-13,EG1906,5519.0,5591.0,5646.0,5475.0,0,356924,5544.0,5560.0,5551.0,89988,5828.0,5274.0,5519,10,0.008477633477633478,3569240,171.0,69.0,102.0,,,,,,,,,,,,,,0.0026828832051511357,0.004829189769272045,0.006438919692362726,0.0051869075299588625,-0.0026828832051511357,,,,0.009837238418887497,0.02074763011983545,,,,,,,1995562084.0,,,,,,,,,,,,,,,,0.3567251461988304,0.627313381492948,,,-20.831438010258353,-8.494230654461935,-24.674414711592835,,,,,0.030584868538722946,-1.976741175746959
4,,2018-12-14,EG1906,5647.0,5606.0,5666.0,5583.0,0,187864,5591.0,5620.0,5560.0,93730,5838.0,5282.0,5647,10,0.0026828832051511357,1878640,83.0,8.0,75.0,0.026018384062639545,,,,,,,,,,,,,0.0021405636817695326,0.003745986443096682,0.0024973242953977882,-0.005351409204423832,-0.033535497681056015,,,,0.010702818408847663,0.004102747056724938,,,,,,,1053165584.0,,,,0.6731304430861447,,,,,,0.879654330054531,,,,,,-0.4457831325301205,-0.8025082787289508,,,-21.175593661487255,-11.030503255867,-20.29018081124051,,,,,0.014805565465572601,-0.3975575972857744
5,,2018-12-17,EG1906,5592.0,5618.0,5637.0,5566.0,0,123774,5606.0,5615.0,5620.0,99192,5901.0,5339.0,5592,10,0.0021405636817695326,1237740,71.0,40.0,31.0,0.012399247924841015,,,,,,,,,,,,,0.001601993592025632,0.000355998576005696,-0.007475970096119616,-0.0355998576005696,-0.050907796368814526,-2.9324511348635185,0.31650485436893205,-0.014627185158758473,0.003381986472054112,0.009255962976148096,,,,,,,695362332.0,,,,0.23725932701093078,,,,,,-0.29834064651676145,,,,,,0.4647887323943662,0.9105718649244867,0.003991183654017849,,-20.246649016022275,-12.873732407898057,-14.745833216248435,,0.4673202614379085,0.5676745265118157,,0.012637949448202207,-2.6740953083597416
6,,2018-12-18,EG1906,5588.0,5627.0,5628.0,5570.0,0,122752,5618.0,5602.0,5615.0,95662,5895.0,5335.0,5588,10,0.001601993592025632,1227520,58.0,48.0,10.0,0.0031146104282041994,,,,,,,,,,,,,-0.0012440021325750845,-0.00906344410876133,-0.03714234938688466,-0.05242580415852142,-0.08050470943664474,-2.9020795966842794,0.12642148560367772,0.008365966536133855,0.00017771459036786921,0.010129731650968544,,,,,,,690725504.0,,,,0.504890287544868,,,,,,-1.371352398547247,,,,,,0.9655172413793104,0.5007285089849443,0.007009276105825135,,-18.57016362124432,-14.01301865056731,-9.114289941354016,,0.5977937649880096,0.5466283452326282,,0.010307446241336414,-55.05189426916437
7,,2018-12-19,EG1906,5579.0,5620.0,5635.0,5551.0,0,147788,5627.0,5590.0,5602.0,88840,5882.0,5322.0,5579,10,-0.0012440021325750845,1477880,84.0,76.0,8.0,0.003551408900188877,,,,,,,,,,,,,-0.007829181494661922,-0.03594306049822064,-0.05124555160142349,-0.07935943060498221,-0.08327402135231317,-1.2561750521376434,0.0034287386841169954,0.006220010662875422,0.0026690391459074734,0.012277580071174377,,,,,,,830568560.0,,,,1.8654634718847594,,,,,,-0.9312494984132922,,,,,,0.6428571428571429,-0.3226600985221675,0.0033922513836814883,,-17.603456675236885,-14.731106255501228,-5.744700839471314,,0.6246178231892079,0.4805176354900429,,0.01494661921708185,-4.434636843906302
8,,2018-12-20,EG1906,5628.0,5576.0,5635.0,5564.0,0,99196,5620.0,5599.0,5590.0,90096,5869.0,5311.0,5628,10,-0.007829181494661922,991960,71.0,56.0,15.0,0.0043528086927703226,,,,,,,,,,,,,-0.028335724533715925,-0.04375896700143472,-0.07209469153515065,-0.07604017216642754,-0.07908895265423242,-1.743903429236474,0.001215668617739757,0.006583629893238434,0.010581061692969872,0.002152080344332855,,,,,,,553116896.0,,,,0.91875408499013,,,,,,-1.5301489082977306,,,,,,-0.6619718309859155,-1.3048289738430583,-0.005410547594981829,,-20.155427510413574,-15.815970506483698,-8.678914007859753,0.3300653594771242,0.45682353877912046,0.5486997052285455,,0.012733142037302726,-0.213052116425371
9,,2018-12-21,EG1906,5561.0,5418.0,5576.0,5320.0,0,551084,5576.0,5410.0,5599.0,111700,5878.0,5320.0,5561,10,-0.028335724533715925,5510840,256.0,256.0,0.0,0.012710435367897458,,,,,,,,,,,,,-0.015873015873015872,-0.045035068290882246,-0.04909560723514212,-0.052233296419342934,-0.052417866371354746,3.6616395822412193,0.199453915823122,-0.008070301291248206,0.02916205241786637,0.01808785529715762,,,,,,,2985773112.0,,,,2.1914602406128303,,,,,,-1.9735186560597782,,,,,,-0.234375,0.4275968309859155,-0.02859704168534294,,-34.52913198229817,-19.558602801646593,-29.94105836130315,0.29092451229855815,0.39425718381691993,0.8372855697298491,,0.04724990771502399,-0.7065427764884766
10,,2018-12-24,EG1906,5380.0,5332.0,5385.0,5306.0,0,252940,5418.0,5344.0,5410.0,122960,5680.0,5140.0,5380,10,-0.015873015873015872,2529400,79.0,112.0,-33.0,0.012104884172410802,,,,,,,,,,,,,-0.029632408102025505,-0.03375843960990248,-0.03694673668417104,-0.037134283570892726,-0.0527006751687922,0.23438532056818925,0.21278424350940017,-0.04392764857881137,0.009939984996249063,0.004876219054763691,,,,,,,1348676080.0,,,,1.7458170636225858,,,,,,-0.7470628926073544,,,,,,-0.34177215189873417,-0.10739715189873417,-0.0361242505498478,,-52.257485833692044,-26.098379408055685,-52.31821285127272,0.0749571450833723,0.09847150920570512,0.7986343206768934,,0.021005251312828207,-0.5130481819743417
11,,2018-12-25,EG1906,5200.0,5174.0,5231.0,5128.0,0,316626,5332.0,5174.0,5344.0,120146,5611.0,5077.0,5200,10,-0.029632408102025505,3166260,103.0,204.0,-101.0,0.012458248845155196,,,,,,,,,,,,,-0.004252029377657518,-0.007537688442211055,-0.007730962504831852,-0.023772709702357942,-0.009083880943177426,0.7664821696845101,0.19912166558230318,-0.08008252063015754,0.011016621569385389,0.00889060688055663,,,,,,,1638222924.0,,,,1.0619505264729197,,,,,,-0.37053460072775635,,,,,,-0.10679611650485436,0.2349760353938798,-0.05200476379515673,-0.06382593748586418,-78.15568345705015,-36.50984021785458,-83.29168647839113,0.11037376257986672,0.15130318756704222,0.6843036441504573,,0.039427908774642445,-0.8274991803642916
12,,2018-12-26,EG1906,5200.0,5152.0,5229.0,5128.0,0,272420,5174.0,5169.0,5174.0,121010,5432.0,4916.0,5200,10,-0.004252029377657518,2724200,101.0,46.0,55.0,0.011573579783965598,,,,,,,,,,,,,-0.003299689440993789,-0.0034937888198757765,-0.019604037267080744,-0.004852484472049689,0.0,0.39362528661575485,0.2677575616333461,-0.08117510630073445,0.014945652173913044,0.004658385093167702,,,,,,,1403507840.0,,,,0.7763144097247028,,,,,,0.45518394532451983,,,,,,-0.5247524752475248,-0.4179563587426704,-0.04214179474467039,-0.06041125245064516,-99.3106168262666,-49.06999553953699,-100.48124257345921,0.052573415981824814,0.07187038760641196,0.5796525732473264,,0.019604037267080744,-0.32648103830778896
13,,2018-12-27,EG1906,5301.0,5135.0,5377.0,5135.0,0,315554,5152.0,5215.0,5169.0,142086,5427.0,4911.0,5301,10,-0.003299689440993789,3155540,242.0,17.0,225.0,0.012618968475678501,,,,,,,,,,,,,-0.00019474196689386563,-0.016358325219084712,-0.001557935735150925,0.003310613437195716,-0.00038948393378773126,0.7942074737537625,0.4296339145525163,-0.053377329192546584,0.04712755598831548,0.0,,,,,,,1620369790.0,,,,1.9437781630569617,0.8913393642510772,,,,,0.8118940331314843,-0.93922874349406,,,,,-1.0,-0.4752475247524752,-0.030735835404410605,-0.05769730705121345,-116.10937525712052,-62.477871483053704,-107.26300754813363,0.01481576006125197,0.019601055876862287,0.48517235735538633,,0.04712755598831548,-0.0
14,,2018-12-28,EG1906,5141.0,5134.0,5166.0,5088.0,0,331090,5135.0,5122.0,5215.0,125940,5475.0,4955.0,5141,10,-0.00019474196689386563,3310900,78.0,47.0,31.0,0.012164345701559335,,,,,,,,,,,,,-0.016166731593299573,-0.0013634592910011687,0.003506038176860148,-0.00019477989871445267,-0.010518114530580444,-0.6971675212483441,0.10022099291978098,-0.05394352482960078,0.0062329567588624854,0.008959875340864823,,,,,,,1699816060.0,,,,-0.6375624578072179,0.5581036962946833,,,,,2.0350712641906283,-0.6307629737329713,,,,,0.1794871794871795,1.1794871794871795,-0.017259531025682007,-0.05193666035732425,-128.02738399631198,-75.58777398570535,-104.87922002121326,0.09312256075563281,0.12323664136622227,0.3166174101970684,,0.015192832099727308,-1.4473266235455264
15,,2019-01-02,EG1906,5105.0,5051.0,5134.0,5046.0,0,245416,5134.0,5084.0,5122.0,144434,5378.0,4866.0,5105,10,-0.016166731593299573,2454160,88.0,88.0,0.0,0.012196538267399078,,,,,,,,,,,,,0.01504652544050683,0.019996040388041973,0.016234409027915266,0.005741437339140764,0.014056622450999801,-0.02272493883838231,0.17050976655550262,-0.04421503700818075,0.01643238962581667,0.0009899029895070284,,,,,,,1239596216.0,,,,-0.7793767466634289,0.8154800933596332,,,,,-1.5453871867209086,-0.37079325603336216,,,,,-0.8863636363636364,-1.0658508158508158,-0.021692814255277915,-0.059447884176714316,-142.52693632478076,-88.97560645352044,-107.10265974252064,0.009608502287108663,0.013537777293132113,0.12679956505742906,,0.017422292615323697,-0.06353072354695759
