,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252
0,J,2011-04-15,J1109,2300.0,2247.0,2300.0,2225.0,0,57134,2180.0,2255.0,2180.0,6404,2354.0,2006.0,2300.0,100,0.030733944954128442,,,,,,,,,,,,,,0.059635068980863376,0.03960836671117045,0.042723631508678236,0.039163328882955054,0.03693813974187806,,,,0.02358700489541611,0.009790832220738763,,,,,,,128380098.0,,,,,,,,,,,,,,,
1,,2011-04-18,J1109,2233.0,2381.0,2388.0,2233.0,0,132702,2247.0,2344.0,2255.0,19488,2390.0,2120.0,2233.0,100,0.059635068980863376,,,,,,,,,,,,,,-0.01889962200755985,-0.015959680806383873,-0.019319613607727847,-0.02141957160856783,-0.021839563208735827,,,,0.0029399412011759767,0.0621587568248635,,,,,,,315963462.0,,,,,,,,,,,,,,,
2,,2011-04-19,J1109,2375.0,2336.0,2384.0,2320.0,0,204462,2381.0,2344.0,2344.0,23270,2484.0,2204.0,2375.0,100,-0.01889962200755985,,,,,,,,,,,,,,0.0029965753424657533,-0.0004280821917808219,-0.0025684931506849314,-0.0029965753424657533,-0.0059931506849315065,,,,0.02054794520547945,0.00684931506849315,,,,,,,477623232.0,,,,,,,,,,,,,,,
3,,2011-04-20,J1109,2350.0,2343.0,2395.0,2328.0,0,175506,2336.0,2352.0,2344.0,23484,2484.0,2204.0,2350.0,100,0.0029965753424657533,,,,,,,,,,,,,,-0.0034144259496372174,-0.005548442168160478,-0.00597524541186513,-0.008962868117797696,-0.009816474605207,,,,0.022193768672641914,0.006402048655569782,,,,,,,411210558.0,,,,,,,,,,,,,,,
4,,2011-04-21,J1109,2353.0,2335.0,2363.0,2323.0,0,97576,2343.0,2346.0,2352.0,22246,2493.0,2211.0,2353.0,100,-0.0034144259496372174,0.031100988731775327,,,,,,,,,,,,,-0.0021413276231263384,-0.002569593147751606,-0.00556745182012848,-0.006423982869379015,0.0008565310492505353,,,,0.011991434689507495,0.005139186295503212,,,,,,,227839960.0,,,,-0.12021989734343062,,,,,,-1.3592001386545831,,,,,
5,,2011-04-22,J1109,2336.0,2330.0,2351.0,2297.0,0,128218,2335.0,2319.0,2346.0,18880,2486.0,2206.0,2336.0,100,-0.0021413276231263384,0.030196335529710922,,,,,,,,,,,,,-0.00042918454935622315,-0.0034334763948497852,-0.004291845493562232,0.0030042918454935624,-0.00042918454935622315,0.7284988111830778,0.5608199226827295,0.038115631691648826,0.009012875536480686,0.014163090128755365,,,,,,,298747940.0,,,,0.37700328502034036,,,,,,1.9652532113801606,,,,,
6,,2011-04-25,J1109,2340.0,2329.0,2359.0,2317.0,0,64954,2330.0,2334.0,2319.0,18038,2458.0,2180.0,2340.0,100,-0.00042918454935622315,0.008467381356345952,,,,,,,,,,,,,-0.0030055817947617003,-0.0038643194504079004,0.0034349506225848005,0.0,0.006440532417346501,-0.5283813505124085,-0.07680084745762712,-0.01759656652360515,0.012881064834693002,0.005152425933877201,,,,,,,151277866.0,,,,0.0876621316476986,,,,,,0.7675077374295962,,,,,
7,,2011-04-26,J1109,2315.0,2322.0,2329.0,2303.0,0,44336,2329.0,2316.0,2334.0,17852,2474.0,2194.0,2315.0,100,-0.0030055817947617003,0.0026103304066904063,,,,,,,,,,,,,-0.0008613264427217916,0.006459948320413436,0.0030146425495262705,0.009474590869939707,0.0030146425495262705,-2.4652215413985283,-0.30036589422330634,-0.009016745384285102,0.0030146425495262705,0.00818260120585702,,,,,,,102948192.0,,,,0.500465679414916,,,,,,0.41297066846231856,,,,,
8,,2011-04-27,J1109,2332.0,2320.0,2339.0,2315.0,0,32038,2322.0,2327.0,2316.0,16356,2454.0,2178.0,2332.0,100,-0.0008613264427217916,0.001303017436550251,,,,,,,,,,,,,0.007327586206896552,0.003879310344827586,0.010344827586206896,0.003879310344827586,-0.005172413793103448,-3.235925658607001,-0.3992829935021286,-0.004737295434969853,0.008189655172413794,0.0021551724137931034,,,,,,,74328160.0,,,,0.5610043301772603,,,,,,-0.02073620186687927,,,,,
9,,2011-04-28,J1109,2330.0,2337.0,2347.0,2326.0,0,26286,2320.0,2335.0,2327.0,14190,2466.0,2188.0,2330.0,100,0.007327586206896552,0.004125528121440974,,,,,,,,,,,,,-0.0034231921266581087,0.002995293110825845,-0.0034231921266581087,-0.012409071459135643,-0.028241335044929396,-2.2251701104937887,-0.4925409635607728,-0.0021551724137931034,0.004278990158322636,0.004706889174154899,,,,,,,61430382.0,,,,1.595358560004138,,,,,,0.3075758908290225,,,,,
