,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252
0,L,2010-01-04,L1005,13303.65940766495,13340.61401713069,13403.9647762148,13250.86710842818,0,190792,13192.79557926774,13340.61401713069,13140.00328003098,90050,13667.92627239863,12617.359517587,12600,5,0.011204481792717574,,,,,,
1,,2010-01-05,L1005,13430.36092583319,13367.01016674907,13456.75707545157,13324.77632735966,0,158990,13340.61401713069,13377.56862659642,13340.61401713069,84230,13879.0954693457,12807.41179483935,12720,5,0.0019786307874948513,,,,,,
2,,2010-01-06,L1005,13356.45170690171,13308.93863758863,13409.24400613848,13261.42556827554,0,257520,13367.01016674907,13335.33478720701,13377.56862659642,84866,13916.05007881143,12844.36640430509,12650,5,-0.00434439178514999,,,,,,
3,,2010-01-07,L1005,13414.52323606216,12918.27562323656,13557.06244400143,12670.15181682376,0,326148,13308.93863758863,13155.84096980201,13335.33478720701,66252,13873.81623942202,12670.15181682376,12705,5,-0.029353431178104267,,,,,,
4,,2010-01-08,L1005,12986.90561224435,12854.92486415244,13055.53560125215,12712.38565621317,0,251674,12918.27562323656,12886.6002436945,13155.84096980201,57566,13683.76396216966,12633.19720735803,12300,5,-0.0049039640375971505,0.015039781542368735,,,,,
5,,2010-01-11,L1005,12997.46407209171,13187.51634934407,13192.79557926774,12997.46407209171,0,194252,12854.92486415244,13118.88636033627,12886.6002436945,63628,13403.9647762148,12374.51494109787,12310,5,0.025872689938398957,0.01971511529644565,,,,,
6,,2010-01-12,L1005,13108.32790048892,12939.39254293127,13140.00328003098,12912.99639331288,0,179180,13187.51634934407,12992.18484216803,13118.88636033627,58786,13646.80935270393,12596.24259789229,12415,5,-0.01881505204163348,0.020790274917797346,,,,,
7,,2010-01-13,L1005,12664.87258690008,12422.02801041096,12664.87258690008,12395.63186079258,0,158518,12939.39254293127,12501.21645926611,12992.18484216803,52806,13514.82860461201,12395.63186079258,11995,5,-0.03998368013055935,0.025519829919419985,,,,,
8,,2010-01-14,L1005,12564.56721835023,12738.78180583156,12828.52871453406,12511.77491911346,0,334574,12422.02801041096,12696.54796644214,12501.21645926611,64460,13002.74330201539,12004.96884644051,11900,5,0.025499362515937585,0.02857426438981965,,,,,
9,,2010-01-15,L1005,12707.1064262895,12501.21645926611,12728.2233459842,12427.30724033464,0,212622,12738.78180583156,12564.56721835023,12696.54796644214,57490,13208.63326903877,12189.74189376919,12035,5,-0.018648984666390766,0.029513179293119605,,,,,
10,,2010-01-18,L1005,12337.56033163214,12654.31412705273,12712.38565621317,12332.28110170846,0,378828,12501.21645926611,12617.359517587,12564.56721835023,73890,13071.37329102318,12063.04037560096,11685,5,0.012246621621621599,0.02638862066861962,,,,,
11,,2010-01-19,L1005,12701.82719636582,12670.15181682376,12749.34026567891,12585.68413804494,0,268256,12654.31412705273,12659.59335697641,12617.359517587,74398,13124.16559025995,12115.83267483772,12030,5,0.0012515644555694495,0.02584151404064527,,,,,
12,,2010-01-20,L1005,12775.73641529729,12775.73641529729,12886.6002436945,12670.15181682376,0,353290,12670.15181682376,12786.29487514465,12659.59335697641,73472,13166.39942964936,12158.06651422713,12100,5,0.008333333333333205,0.016236243953675702,,,,,
13,,2010-01-21,L1005,12775.73641529729,13023.86022171009,13023.86022171009,12738.78180583156,0,366340,12775.73641529729,12912.99639331288,12786.29487514465,81580,13298.38017774127,12279.48880247169,12100,5,0.01942148760330598,0.014523954727707549,,,,,
14,,2010-01-22,L1005,12812.69102476303,12744.06103575523,13002.74330201539,12585.68413804494,0,429676,13023.86022171009,12796.853334992,12912.99639331288,65192,13430.36092583319,12400.91109071626,12135,5,-0.021483583299554274,0.015664953786154272,,,,,
15,,2010-01-25,L1005,12701.82719636582,12612.08028766332,12744.06103575523,12543.45029865552,0,319172,12744.06103575523,12627.91797743435,12796.853334992,67690,13308.93863758863,12290.04726231905,12030,5,-0.01035625517812725,0.01593263725958539,,,,,
16,,2010-01-26,L1005,12670.15181682376,12432.58647025831,12722.94411606053,12432.58647025831,0,279996,12612.08028766332,12580.40490812126,12627.91797743435,65778,13134.7240501073,12126.39113468507,12000,5,-0.01423189619087547,0.01696231117307232,,,,,
17,,2010-01-27,L1005,12495.93722934243,12221.41727331125,12506.49568918979,12179.18343392184,0,392762,12432.58647025831,12274.20957254802,12580.40490812126,79610,13087.21098079421,12078.87806537199,11835,5,-0.016985138004246027,0.01624979207257145,,,,,
18,,2010-01-28,L1005,12084.15729529566,12089.43652521934,12163.34574415081,11962.7350070511,0,346678,12221.41727331125,12063.04037560096,12274.20957254802,77622,12765.17795544994,11783.2411896461,11445,5,-0.010799136069114118,0.004623783334470987,,,,,
19,,2010-01-29,L1005,12063.04037560096,12089.43652521934,12142.2288244561,11994.41038659316,0,233502,12089.43652521934,12068.31960552463,12063.04037560096,70530,12548.7295285792,11582.63045254639,11425,5,0.0,0.006448661760817045,0.01788137390255085,,,,
20,,2010-02-01,L1005,12052.4819157536,12010.24807636419,12136.94959453243,11872.9880983486,0,279494,12089.43652521934,11999.68961651684,12068.31960552463,71662,12554.00875850288,11587.90968247006,11415,5,-0.006550218340611438,0.006686360406391859,0.017513030176236278,,,,
21,,2010-02-02,L1005,12142.2288244561,11915.22193773801,12247.81342292964,11772.68272979875,0,285564,12010.24807636419,11994.41038659316,11999.68961651684,75532,12480.09953957141,11524.55892338595,11500,5,-0.007912087912088136,0.006198145659218865,0.017442347355783393,,,,
22,,2010-02-03,L1005,12121.1119047614,12115.83267483772,12142.2288244561,11841.31271880654,0,350400,11915.22193773801,12015.52730628787,11994.41038659316,73476,12474.82030964773,11519.27969346227,11480,5,0.01683650863978742,0.011083771435592934,0.018150421375859847,,,,
23,,2010-02-04,L1005,12004.96884644051,12026.08576613522,12126.39113468507,11962.7350070511,0,324340,12115.83267483772,12041.92345590625,12015.52730628787,74554,12501.21645926611,11535.1173832333,11370,5,-0.007407407407407285,0.010473509112994658,0.017209589985348276,,,,
24,,2010-02-05,L1005,11762.12426995139,11915.22193773801,11941.6180873564,11667.09813132521,0,262388,12026.08576613522,11825.47502903551,12041.92345590625,65524,12527.61260888449,11561.51353285168,11140,5,-0.009218612818261845,0.01104767128253103,0.01725600976649033,,,,
25,,2010-02-08,L1005,11931.05962750904,12031.3649960589,12121.1119047614,11915.22193773801,0,238000,11915.22193773801,12026.08576613522,11825.47502903551,64572,12300.6057221664,11355.6235658283,11300,5,0.009747452370403606,0.01204260551144082,0.016145132929528537,,,,
26,,2010-02-09,L1005,12010.24807636419,12163.34574415081,12195.02112369287,11936.33885743272,0,215600,12031.3649960589,12089.43652521934,12026.08576613522,64720,12511.77491911346,11545.67584308065,11375,5,0.010969723562966003,0.011737490849015875,0.016124292731829935,,,,
27,,2010-02-10,L1005,12226.69650323493,12295.32649224272,12348.11879147949,12163.34574415081,0,162576,12163.34574415081,12268.93034262434,12089.43652521934,53314,12575.12567819758,11609.02660216477,11580,5,0.010850694444444088,0.010347535482983056,0.013824082464570434,,,,
28,,2010-02-11,L1005,12369.2357111742,12342.83956155581,12437.86570018199,12279.48880247169,0,103400,12295.32649224272,12358.67725132684,12268.93034262434,49270,12759.89872552626,11783.2411896461,11715,5,0.0038643194504078635,0.0085960848044949,0.012469033278287392,,,,
29,,2010-02-12,L1005,12369.2357111742,12448.42416002935,12469.54107972405,12274.20957254802,0,56974,12342.83956155581,12379.79417102155,12358.67725132684,45262,12854.92486415244,11867.70886842492,11715,5,0.008554319931566195,0.00292540504993234,0.011974214680321896,,,,
30,,2010-02-22,L1005,12986.90561224435,12770.45718537362,13008.02253193906,12680.71027667111,0,71674,12448.42416002935,12759.89872552626,12379.79417102155,40434,13008.02253193906,12680.71027667111,12300,5,0.02586938083121282,0.008258355689957735,0.013054799684820668,,,,
31,,2010-02-23,L1005,12749.34026567891,12802.13256491568,12833.80794445773,12685.98950659479,0,84224,12770.45718537362,12775.73641529729,12759.89872552626,48004,13271.98402812289,12253.09265285331,12075,5,0.0024803637866888315,0.009331641622050637,0.013061226042474939,,,,
32,,2010-02-24,L1005,12696.54796644214,12733.50257590788,12839.08717438141,12691.26873651847,0,84108,12802.13256491568,12765.17795544994,12775.73641529729,49434,13287.82171789392,12268.93034262434,12025,5,-0.0053608247422684595,0.01163492388041445,0.012993205589571998,,,,
33,,2010-02-25,L1005,12728.2233459842,12517.05414903714,12823.24948461038,12495.93722934243,0,155272,12733.50257590788,12606.80105773964,12765.17795544994,55300,13277.26325804657,12258.37188277699,12055,5,-0.01699834162520737,0.01599941175399819,0.012663338245730266,,,,
34,,2010-02-26,L1005,12495.93722934243,12554.00875850288,12612.08028766332,12469.54107972405,0,100704,12517.05414903714,12538.17106873185,12606.80105773964,53354,13113.60713041259,12105.27421499037,11835,5,0.0029523407844794327,0.01569856908259428,0.011826230443858495,,,,
35,,2010-03-01,L1005,12680.71027667111,12580.40490812126,12728.2233459842,12495.93722934243,0,104138,12554.00875850288,12580.40490812126,12538.17106873185,55320,13039.69791148112,12036.64422598257,12010,5,0.002102607232968667,0.008558945684190904,0.011616242616289138,,,,
36,,2010-03-02,L1005,12532.89183880817,12290.04726231905,12575.12567819758,12274.20957254802,0,165540,12580.40490812126,12427.30724033464,12580.40490812126,62790,13087.21098079421,12078.87806537199,11870,5,-0.02308015107007955,0.01159022484611669,0.012330840837639733,,,,
37,,2010-03-03,L1005,12374.51494109787,12348.11879147949,12411.46955056361,12305.88495209008,0,141562,12290.04726231905,12358.67725132684,12427.30724033464,71466,12928.83408308391,11931.05962750904,11720,5,0.004725085910652676,0.01297595257426653,0.011745325949000929,,,,
38,,2010-03-04,L1005,12411.46955056361,12163.34574415081,12469.54107972405,12121.1119047614,0,221452,12348.11879147949,12279.48880247169,12358.67725132684,75936,12854.92486415244,11867.70886842492,11755,5,-0.014963659683625433,0.012572787863103592,0.011992026390318978,,,,
39,,2010-03-05,L1005,12168.62497407449,12136.94959453243,12200.30035361655,12084.15729529566,0,180914,12163.34574415081,12142.2288244561,12279.48880247169,81786,12775.73641529729,11788.52041956978,11525,5,-0.0021701388888886682,0.011886262625172225,0.012005390274725905,0.01520234808730493,,,
40,,2010-03-08,L1005,12195.02112369287,12268.93034262434,12337.56033163214,12036.64422598257,0,323210,12136.94959453243,12226.69650323493,12142.2288244561,102354,12627.91797743435,11656.53967147786,11550,5,0.010874293170943529,0.01397064117526761,0.012116545456617531,0.015195098888862762,,,
41,,2010-03-09,L1005,12226.69650323493,12184.46266384552,12290.04726231905,12163.34574415081,0,204934,12268.93034262434,12226.69650323493,12226.69650323493,107764,12717.66488613685,11741.00735025668,11580,5,-0.0068846815834764504,0.010030203022381794,0.01207828387728796,0.015200539506871917,,,
42,,2010-03-10,L1005,12142.2288244561,12179.18343392184,12311.16418201375,12121.1119047614,0,262132,12184.46266384552,12226.69650323493,12226.69650323493,110308,12717.66488613685,11741.00735025668,11500,5,-0.00043327556325842693,0.009454997835291955,0.011504290819851536,0.015198970974569886,,,
43,,2010-03-11,L1005,12195.02112369287,11899.38424796698,12242.53419300596,11878.26732827228,0,304614,12179.18343392184,12004.96884644051,12226.69650323493,118390,12717.66488613685,11741.00735025668,11550,5,-0.022973558734287126,0.012299673651576089,0.012535216981468334,0.014936881382901118,,,
44,,2010-03-12,L1005,11925.78039758537,11978.57269682213,12004.96884644051,11825.47502903551,0,300704,11899.38424796698,11936.33885743272,12004.96884644051,116204,12485.37876949508,11529.83815330962,11295,5,0.00665483584738252,0.013279047006223095,0.012453366744566012,0.01498983867111108,,,
45,,2010-03-15,L1005,11962.7350070511,11572.07199269904,11962.7350070511,11529.83815330962,0,314430,11978.57269682213,11704.05274079095,11936.33885743272,128760,12416.74878048729,11461.20816430183,11330,5,-0.033935654473335734,0.016646108507020085,0.014395661307853887,0.015155693423569865,,,
46,,2010-03-16,L1005,11471.76662414918,11529.83815330962,11614.30583208845,11440.09124460712,0,359740,11572.07199269904,11519.27969346227,11704.05274079095,129098,12173.90420399816,11239.48050750741,10865,5,-0.0036496350364970463,0.016931474217052257,0.014078382302574754,0.01494192252490992,,,
47,,2010-03-17,L1005,11614.30583208845,11846.59194873022,11878.26732827228,11561.51353285168,0,380610,11529.83815330962,11746.28658018036,11519.27969346227,117738,11983.85192674581,11059.98669010241,11000,5,0.027472527472527996,0.024248890738421774,0.015346253652685238,0.01443211341736859,,,
48,,2010-03-18,L1005,11799.07887941713,11719.89043056198,11936.33885743272,11677.65659117257,0,368450,11846.59194873022,11804.3581093408,11746.28658018036,117884,12216.13804338758,11276.43511697315,11175,5,-0.0106951871657756,0.022573767913757745,0.015411351197678292,0.01384542996601292,,,
49,,2010-03-19,L1005,11714.6112006383,11872.9880983486,11888.82578811963,11682.93582109624,0,306790,11719.89043056198,11804.3581093408,11804.3581093408,107696,12279.48880247169,11334.50664613359,11095,5,0.013063063063063037,0.023413256068935764,0.015612808355177579,0.013774710604893077,,,
50,,2010-03-22,L1005,11783.2411896461,11968.01423697478,12004.96884644051,11767.40349987507,0,317170,11872.9880983486,11941.6180873564,11804.3581093408,94830,12279.48880247169,11334.50664613359,11160,5,0.008003557136505187,0.014860154732530736,0.014382007438481339,0.013684583873052394,,,
51,,2010-03-23,L1005,12036.64422598257,11989.13115666948,12105.27421499037,11915.22193773801,0,302550,11968.01423697478,12010.24807636419,11941.6180873564,88460,12422.02801041096,11466.4873942255,11400,5,0.001764446404940027,0.014081685172351945,0.014368164595930502,0.013687277415878317,,,
52,,2010-03-24,L1005,11989.13115666948,11904.66347789066,12073.59883544831,11830.75425895919,0,310814,11989.13115666948,11936.33885743272,12010.24807636419,77556,12490.65799941876,11529.83815330962,11355,5,-0.007045354469396421,0.009958101899464803,0.01438656794125837,0.013625920863324896,,,
53,,2010-03-25,L1005,11878.26732827228,11909.94270781434,11973.29346689845,11851.87117865389,0,152376,11904.66347789066,11915.22193773801,11936.33885743272,62384,12416.74878048729,11461.20816430183,11250,5,0.00044345898004469805,0.00766437034256876,0.014034329351917719,0.013196205277348268,,,
54,,2010-03-26,L1005,11931.05962750904,11952.17654720375,11978.57269682213,11883.54655819595,0,62924,11909.94270781434,11931.05962750904,11915.22193773801,48722,12395.63186079258,11440.09124460712,11300,5,0.003546099290779902,0.005490171857896611,0.014046844877936625,0.012844565475665584,,,
55,,2010-03-29,L1009,11998.64289231167,12014.13167401431,12060.59801912223,11916.03605656425,0,217654,11952.17654720375,11988.31703784324,11926.36191103268,76084,12406.51414381451,11451.37260548506,11620,5,0.0051835853131750485,0.004726558578750678,0.014115078927822312,0.012805459843232935,,,
56,,2010-03-30,L1009,12076.08680082487,11874.73263869055,12081.24972805908,11807.61458464577,0,249828,12014.13167401431,11921.19898379847,11988.31703784324,84378,12468.46927062508,11513.32773229562,11695,5,-0.01160292221744751,0.007175483030191653,0.013438821759211107,0.012743102522836995,,,
