,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252
0,NR,2019-08-12,NR2002,9805.0,9820.0,10175.0,9720.0,0,87618,9260.0,9865.0,9260.0,19456,10555.0,7960.0,9805,10,0.06047516198704104,,,,,,,,,,,,,,0.003564154786150713,0.017820773930753563,0.004582484725050916,0.00560081466395112,0.021384928716904276,,,,0.03615071283095723,0.010183299389002037,,,,,,,860408760.0,,,,,,,,,,,,,,,
1,,2019-08-13,NR2002,9780.0,9855.0,9980.0,9775.0,0,18956,9820.0,9855.0,9865.0,17864,10555.0,9170.0,9880,10,0.003564154786150713,,,,,,,,,,,,,,0.014205986808726534,0.0010147133434804667,0.0020294266869609334,0.017757483510908167,0.0121765601217656,,,,0.012683916793505834,0.008117706747843734,,,,,,,186811380.0,,,,,,,,,,,,,,,
2,,2019-08-14,NR2002,9840.0,9995.0,10220.0,9785.0,0,37116,9855.0,9965.0,9855.0,23014,10540.0,9165.0,9930,10,0.014205986808726534,,,,,,,,,,,,,,-0.013006503251625813,-0.01200600300150075,0.003501750875437719,-0.002001000500250125,-0.010505252626313157,,,,0.022511255627813906,0.021010505252626314,,,,,,,370974420.0,,,,,,,,,,,,,,,
3,,2019-08-15,NR2002,9935.0,9865.0,9980.0,9850.0,0,12196,9995.0,9905.0,9965.0,23046,10660.0,9265.0,9900,10,-0.013006503251625813,,,,,,,,,,,,,,0.0010136847440446021,0.016725798276735936,0.011150532184490624,0.002534211860111505,0.00456158134820071,,,,0.011657374556512924,0.0015205271160669033,,,,,,,120313540.0,,,,,,,,,,,,,,,
4,,2019-08-16,NR2002,9860.0,9875.0,9940.0,9830.0,0,10154,9865.0,9880.0,9905.0,22704,10595.0,9210.0,9870,10,0.0010136847440446021,0.02812506358125265,,,,,,,,,,,,,0.01569620253164557,0.010126582278481013,0.0015189873417721519,0.0035443037974683543,-0.0060759493670886075,,,,0.006582278481012658,0.004556962025316456,,,,,,,100270750.0,,,,1.7034488939643906,,,,,,1.6726349343268991,,,,,
5,,2019-08-19,NR2002,9885.0,10030.0,10080.0,9885.0,0,13220,9875.0,9995.0,9880.0,25496,10570.0,9185.0,9895,10,0.01569620253164557,0.011606660346081288,,,,,,,,,,,,,-0.005483549351944167,-0.013958125623130608,-0.011964107676969093,-0.02143569292123629,-0.011465603190428714,-7.32696474295844,0.26603241719520787,0.006582278481012658,0.004985044865403789,0.014456630109670987,,,,,,,132596600.0,,,,1.7917524695412332,,,,,,0.6772474642885941,,,,,
6,,2019-08-20,NR2002,10030.0,9975.0,10035.0,9945.0,0,5090,10030.0,9985.0,9995.0,25008,10690.0,9295.0,9985,10,-0.005483549351944167,0.01242544389870482,,,,,,,,,,,,,-0.008521303258145364,-0.006516290726817042,-0.016040100250626566,-0.006015037593984963,-0.007518796992481203,-1.0488653555219365,0.2802008158142454,0.01744765702891326,0.006015037593984963,0.0030075187969924814,,,,,,,50772750.0,,,,1.87035709686187,,,,,,-0.29448792575115695,,,,,
7,,2019-08-21,NR2002,9960.0,9890.0,9975.0,9835.0,0,9092,9975.0,9875.0,9985.0,23756,10680.0,9285.0,9835,10,-0.008521303258145364,0.011158240555930085,,,,,,,,,,,,,0.0020222446916076846,-0.007583417593528817,0.0025278058645096056,0.0010111223458038423,0.008088978766430738,-5.505697445972495,0.029670505438259758,-0.0035087719298245615,0.008594539939332659,0.005561172901921132,,,,,,,89919880.0,,,,-0.9067650962603889,,,,,,0.8578952762880658,,,,,
8,,2019-08-22,NR2002,9890.0,9910.0,9925.0,9815.0,0,3656,9890.0,9875.0,9875.0,23148,10565.0,9180.0,9890,10,0.0020222446916076846,0.009350137605347706,,,,,,,,,,,,,-0.00958627648839556,0.0005045408678102926,-0.0010090817356205853,0.006054490413723511,0.0030272452068617556,-0.9392872855257369,0.004293652129988213,0.0025278058645096056,0.0015136226034308778,0.00958627648839556,,,,,,,36230960.0,,,,0.02233293645081429,,,,,,0.8336708281137805,,,,,
9,,2019-08-23,NR2002,9860.0,9815.0,9905.0,9780.0,0,6312,9910.0,9820.0,9875.0,21702,10565.0,9180.0,9855,10,-0.00958627648839556,0.010465911195998278,,,,,,,,,,,,,0.010188487009679063,0.008660213958227204,0.015792154865002548,0.01273560876209883,0.02547121752419766,-1.0508752735229758,-0.043286677034733025,-0.0015136226034308778,0.009169638308711156,0.003565970453387672,,,,,,,61952280.0,,,,0.947963508075354,,,,,,-0.010036334778112622,,,,,
10,,2019-08-26,NR2002,9840.0,9915.0,9940.0,9700.0,0,10520,9815.0,9825.0,9820.0,21562,10505.0,9130.0,9745,10,0.010188487009679063,0.00831520702959274,,,,,,,,,,,,,-0.0015128593040847202,0.005547150781643974,0.0025214321734745334,0.015128593040847202,0.013111447302067574,-0.42775665399239543,-0.18127361533499217,-0.01935812531839022,0.0025214321734745334,0.02168431669188099,,,,,,,104305800.0,,,,0.2651030221928475,,,,,,-0.49867722659507635,,,,,
11,,2019-08-27,NR2002,9915.0,9900.0,9980.0,9860.0,0,4724,9915.0,9915.0,9825.0,21966,10510.0,9135.0,9900,10,-0.0015128593040847202,0.008119606485873634,,,,,,,,,,,,,0.007070707070707071,0.00404040404040404,0.016666666666666666,0.014646464646464647,0.023737373737373738,-0.03479087452471483,-0.14108153232538725,-0.006051437216338881,0.00808080808080808,0.00404040404040404,,,,,,,46767600.0,,,,0.2967462827632125,,,,,,-1.939092510318888,,,,,
12,,2019-08-28,NR2002,9930.0,9970.0,10095.0,9860.0,0,14340,9900.0,10000.0,9915.0,24574,10605.0,9220.0,10065,10,0.007070707070707071,0.007724717849136806,,,,,,,,,,,,,-0.003009027081243731,0.009528585757271816,0.007522567703109328,0.016549648946840523,0.04262788365095286,1.1109229466553767,0.03723936993535464,0.00404040404040404,0.012537612838515547,0.011033099297893681,,,,,,,142969800.0,,,,0.8082887162932602,,,,,,-0.8211025567906158,,,,,
13,,2019-08-29,NR2002,9965.0,9940.0,10030.0,9905.0,0,4078,9970.0,9965.0,10000.0,24906,10700.0,9300.0,9985,10,-0.003009027081243731,0.007985205862322105,,,,,,,,,,,,,0.012575452716297788,0.01056338028169014,0.019617706237424547,0.045774647887323945,0.03722334004024145,0.029428172942817295,0.0715390249857573,0.005516549648946841,0.009054325955734407,0.0035211267605633804,,,,,,,40535320.0,,,,0.8723849999039035,2.922781393988734,,,,,-1.1174096000327807,0.26283066141926253,,,,
14,,2019-08-30,NR2002,9925.0,10065.0,10080.0,9925.0,0,7310,9940.0,10010.0,9965.0,24738,10660.0,9265.0,9965,10,0.012575452716297788,0.006984590116232017,,,,,,,,,,,,,-0.001987083954297069,0.006954793840039742,0.03278688524590164,0.024341778440139097,0.012419274714356682,0.24472780774889652,0.12189833774993977,0.011066398390342052,0.0014903129657228018,0.013909587680079483,,,,,,,73575150.0,,,,0.7086123986311186,2.259297641563754,,,,,1.4069566600530443,0.4241202458320461,,,,
15,,2019-09-02,NR2002,10080.0,10045.0,10195.0,10000.0,0,12106,10065.0,10075.0,10010.0,24118,10710.0,9305.0,10005,10,-0.001987083954297069,0.0068722494511506155,,,,,,,,,,,,,0.008959681433549029,0.03484320557491289,0.026381284221005476,0.01443504230960677,0.021901443504230962,0.21696306429548565,0.10332282318699976,0.01639344262295082,0.014932802389248382,0.004479840716774514,,,,,,,121604770.0,,,,0.4515527646989818,2.628805681506386,,,,,0.09544508948990958,0.16444798249873205,,,,
16,,2019-09-03,NR2002,10025.0,10135.0,10135.0,10010.0,0,5134,10045.0,10070.0,10075.0,24496,10780.0,9365.0,10010,10,0.008959681433549029,0.006890785071846505,,,,,,,,,,,,,0.025653675382338433,0.01726689689195856,0.005426739023186976,0.012826837691169216,0.013320177602368031,0.03386750371716504,0.10490090388921137,0.012444001991040319,0.0,0.0123334977799704,,,,,,,52033090.0,,,,0.45959855545956957,0.19933294805684285,,,,,0.16531660255168815,0.5814809665233677,,,,
17,,2019-09-04,NR2002,10110.0,10395.0,10475.0,9900.0,0,19446,10135.0,10290.0,10070.0,26182,10770.0,9365.0,10080,10,0.025653675382338433,0.01176315166488403,,,,,,,,,,,,,-0.008177008177008177,-0.019721019721019722,-0.012506012506012507,-0.012025012025012025,-0.016835016835016835,0.9945461628359953,0.06564337034617897,0.013813517513566848,0.007696007696007696,0.047619047619047616,,,,,,,202141170.0,,,,1.1544184733792753,0.8611278974790826,,,,,1.3175569141264,1.788606861717252,,,,
18,,2019-09-05,NR2002,10405.0,10310.0,10455.0,10210.0,0,7412,10395.0,10345.0,10290.0,26610,11010.0,9565.0,10435,10,-0.008177008177008177,0.013164108293748946,,,,,,,,,,,,,-0.011639185257032008,-0.004364694471387003,-0.0038797284190106693,-0.008729388942774006,-0.01600387972841901,0.1714491412115602,0.06508288136887938,0.044733044733044736,0.014064015518913677,0.009699321047526674,,,,,,,76417720.0,,,,1.3123644507211103,1.002486969496511,,,,,0.5790339364237521,1.2675466832701294,,,,
19,,2019-09-06,NR2002,10325.0,10190.0,10400.0,10160.0,0,10156,10310.0,10300.0,10345.0,26616,11065.0,9620.0,10235,10,-0.011639185257032008,0.01509842643987152,0.01665408154411954,,,,,-0.6988788439757423,0.18812981235612705,0.25599668707036477,,,,,0.007360157016683023,0.007850834151128557,0.002944062806673209,-0.004416094210009814,0.006378802747791953,0.38397193739881275,0.07057497181510711,0.02521823472356935,0.020608439646712464,0.002944062806673209,-0.18981639006271273,0.7521813346860092,0.8348936964862608,-0.3033293699747859,,,103489640.0,184099243.6848693,148704569.0,1.2380200885748796,1.0317440978159291,1.1964972992788374,3.451106508527883,,,,0.19349233673543498,0.9872587020846175,1.25047872430737,,,
20,,2019-09-09,NR2002,10195.0,10265.0,10300.0,10115.0,0,4602,10190.0,10225.0,10300.0,27004,11020.0,9575.0,10215,10,0.007360157016683023,0.01497250471738991,0.01038438492018952,,,,,0.7087715905419939,-0.695308363694917,0.7482389258220519,0.9757818764039179,,,,0.0004870920603994155,-0.00438382854359474,-0.011690209449585971,-0.000974184120798831,-0.000974184120798831,-0.7388735722725482,0.10843101893597835,0.014720314033366046,0.0034096444227959084,0.014612761811982464,0.04383767649941295,0.7655895086551462,0.4339442179594875,0.08922971708066377,,,47239530.0,77686342.29449259,108046107.5,0.7190110230902357,1.5772551055056232,1.1800582637219033,2.2488116532661087,,,,0.16427703061314547,0.6255905586232434,1.010426049017902,,,
21,,2019-09-10,NR2002,10280.0,10270.0,10315.0,10155.0,0,4564,10265.0,10235.0,10225.0,26836,10940.0,9505.0,10225,10,0.0004870920603994155,0.01481046888298017,0.01038698643738523,,,,,0.04689445426117585,-0.21565083006523386,0.9886298580219106,0.9065398625107691,,,,-0.004868549172346641,-0.012171372930866602,-0.0014605647517039922,-0.0014605647517039922,-0.012171372930866602,-0.12385919165580182,0.08665382906236113,0.01412566975158305,0.004381694255111977,0.011197663096397274,0.04543090201451195,0.8526935804431525,0.4402174111076908,0.12320422465417813,,,46872280.0,76511887.35862665,101049152.5,0.7571749536308743,1.5296077481660029,1.2846678029156786,2.5796880464595744,,,,0.4092304246667454,0.29417079578108435,0.7669816379326807,,,
