,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,amount,high-low,prevclose-low,high-prevclose,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252,low_close_high,d_low_close_high,mean6,mean12,dif,dea,macd,sma_low_close_high9,sma_low_close_high6,std_vol6,ddif_vol,norm_ATR,sq5_low_close_open_high
0,PG,2020-03-30,PG2011,2350.0,2366.0,2438.0,2318.0,0,85116,2600.0,2379.0,2600.0,10171,2964.0,2236.0,2350,20,-0.09,1702320,120.0,282.0,-162.0,,,,,,,,,,,,,,0.07565511411665257,0.10904480135249366,0.17455621301775148,0.21513102282333052,0.2759932375316991,,,,0.030431107354184278,0.02028740490278952,,,,,,,201384456.0,,,,,,,,,,,,,,,,-0.2,,,,0.0,0.0,0.0,,,,,0.11918850380388842,-0.644427924113448
1,,2020-03-31,PG2011,2430.0,2545.0,2545.0,2404.0,0,89839,2366.0,2513.0,2379.0,18891,2545.0,2213.0,2430,20,0.07565511411665257,1796780,141.0,-38.0,179.0,,,,,,,,,,,,,,0.031041257367387033,0.09194499017681729,0.12966601178781925,0.1862475442043222,0.15481335952848724,,,,0.0,0.055402750491159135,,,,,,,228640255.0,,,,,,,,,,,,,,,,1.0,1.2,,,14.279202279201854,2.855840455840371,22.846723646722968,,,,,0.07033398821218075,inf
2,,2020-04-01,PG2011,2547.0,2624.0,2642.0,2530.0,0,199435,2545.0,2598.0,2513.0,21955,2764.0,2262.0,2547,20,0.031041257367387033,3988700,112.0,15.0,97.0,,,,,,,,,,,,,,0.05907012195121951,0.09565548780487805,0.15053353658536586,0.12004573170731707,0.15015243902439024,,,,0.006859756097560976,0.035823170731707314,,,,,,,523317440.0,,,,,,,,,,,,,,,,0.6785714285714286,-0.3214285714285714,,,31.60587982240395,8.605848329153087,46.000062986501725,,,,,0.042682926829268296,-4.499672646694549
3,,2020-04-02,PG2011,2644.0,2779.0,2779.0,2607.0,0,206057,2624.0,2687.0,2598.0,26486,2779.0,2417.0,2644,20,0.05907012195121951,4121140,172.0,17.0,155.0,,,,,,,,,,,,,,0.03454480028787334,0.08636200071968334,0.05757466714645556,0.086002159050018,0.08708168405901404,,,,0.0,0.061892767182439724,,,,,,,572632403.0,,,,,,,,,,,,,,,,1.0,0.3214285714285714,,,57.18540348363149,18.321759360048766,77.72728824716545,,,,,0.061892767182439724,inf
4,,2020-04-03,PG2011,2790.0,2875.0,2875.0,2732.0,0,323535,2779.0,2804.0,2687.0,35752,2875.0,2499.0,2790,20,0.03454480028787334,6470700,143.0,47.0,96.0,0.06526132503374192,,,,,,,,,,,,,0.05008695652173913,0.022260869565217393,0.04973913043478261,0.050782608695652175,0.09182608695652174,,,,0.0,0.04973913043478261,,,,,,,930163125.0,,,,0.5682827141961989,,,,,,-0.24844794306465612,,,,,,1.0,0.0,,,84.23277497338358,31.503962482715732,105.4576249813357,,,,,0.04973913043478261,inf
5,,2020-04-07,PG2011,2920.0,3019.0,3063.0,2913.0,0,430450,2875.0,3005.0,2804.0,48247,3084.0,2524.0,2920,20,0.05008695652173913,8609000,150.0,-38.0,188.0,0.018294295242540743,,,,,,,,,,,,,-0.026498840675720437,-0.0003312355084465055,0.000662471016893011,0.03974826101358066,0.04637297118251076,1.067377563478449,1.065003356455583,0.19269565217391305,0.01457436237164624,0.035110963895329576,,,,,,,1299528550.0,,,,0.3711087179994354,,,,,,0.16837504130066225,,,,,,0.41333333333333333,-0.5866666666666667,0.11759624876604136,,115.9509973659433,48.393369459361246,135.11525581316408,,0.9409395973154362,0.6056724426923639,,0.06227227558794303,-2.0391627113084403
6,,2020-04-08,PG2011,2986.0,2939.0,3014.0,2891.0,0,494076,3019.0,2953.0,3005.0,49156,3215.0,2795.0,2986,20,-0.026498840675720437,9881520,123.0,128.0,-5.0,0.03339835226899531,,,,,,,,,,,,,0.026879891119428376,0.027900646478394013,0.06805035726437564,0.0748553929908132,0.10343654304185097,0.9391032640260193,0.6272928886770162,0.1460748592249089,0.025518883974140864,0.016332085743450152,,,,,,,1452089364.0,,,,0.2098615385267551,,,,,,-0.6528003895594858,,,,,,-0.21951219512195122,-0.6328455284552845,0.050831297300518496,,133.09831123628555,65.33435781474611,135.52790684307888,,0.7632485472702599,0.5282749350270753,,0.04355222864920041,-0.6928369809235275
7,,2020-04-09,PG2011,2980.0,3018.0,3044.0,2964.0,0,457508,2939.0,3005.0,2953.0,45765,3159.0,2747.0,2980,20,0.026879891119428376,9150160,80.0,-25.0,105.0,0.0334068284710964,,,,,,,,,,,,,0.0009940357852882703,0.04009277667329357,0.04671968190854871,0.07455268389662027,0.08184227965540093,0.5223346205846874,0.48437627146228335,0.12112963593058863,0.008614976805831677,0.017892644135188866,,,,,,,1380759144.0,,,,-0.968998453707564,,,,,,-0.6799113994503748,,,,,,0.35,0.5695121951219512,0.049495769097021025,,151.31802083571256,82.53109041893941,137.5738608335463,,0.7598702448529513,0.36587380832945104,,0.03479125248508946,-1.9494206178993376
8,,2020-04-10,PG2011,2930.0,3021.0,3022.0,2913.0,0,310584,3018.0,2971.0,3005.0,46292,3215.0,2795.0,2930,20,0.0009940357852882703,6211680,109.0,105.0,4.0,0.03020064668818383,,,,,,,,,,,,,0.039059913935782856,0.04568023833167825,0.07348560079443893,0.08076795762992386,0.05527970870572658,0.22847032183043794,0.4327761389708292,0.050033134526176276,0.00033101621979476995,0.03574975173783516,,,,,,,938274264.0,,,,-0.28114698765030166,,,,,,-1.1141737096708357,,,,,,0.981651376146789,0.631651376146789,0.026910656620021456,,164.10761643827573,98.84639562280668,130.5224416309381,0.9436241610738255,0.6990871941356954,0.29397311562737455,,0.036080767957629926,-92.68473891278173
9,,2020-04-13,PG2011,3075.0,3139.0,3178.0,3075.0,0,400984,3021.0,3127.0,2971.0,57076,3178.0,2764.0,3075,20,0.039059913935782856,8019680,103.0,-54.0,157.0,0.03090809106327235,,,,,,,,,,,,,0.0063714558776680474,0.03313157056387384,0.040140172029308696,0.015610066900286716,0.026122969098438992,0.24936571104757488,0.46064114749848784,0.066203243958954,0.012424338961452692,0.02038865880853775,,,,,,,1258688776.0,,,,-0.9702750182596791,,,,,,0.8078408227818167,,,,,,0.24271844660194175,-0.7389329295448472,0.04569429792904334,,181.67088801933505,115.41129410211235,132.5191878344454,0.9651097355092854,0.7267336257205215,0.18199940419009558,,0.05001592863969417,-1.480418109390198
