,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,amount,high-low,prevclose-low,high-prevclose,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252,low_close_high,d_low_close_high,mean6,mean12,dif,dea,macd,sma_low_close_high9,sma_low_close_high6,std_vol6,ddif_vol,norm_ATR,sq5_low_close_open_high
0,PK,2021-02-01,PK2110,9866.0,10504.0,10630.0,9866.0,0,521558,9350.0,10346.0,9350.0,45054,10660.0,8040.0,9866,5,0.12342245989304813,2607790,764.0,-516.0,1280.0,,,,,,,,,,,,,,-0.008568164508758568,-0.01904036557501904,-0.019230769230769232,-0.020563594821020565,-0.015041888804265042,,,,0.011995430312261995,0.06073876618431074,,,,,,,5478445232.0,,,,,,,,,,,,,,,,0.6701570680628273,,,,0.0,0.0,0.0,,,,,0.12185833968012186,-3.7015372467071663
1,,2021-02-02,PK2110,10504.0,10414.0,10754.0,10352.0,0,566353,10504.0,10566.0,10346.0,44592,11072.0,9620.0,10504,5,-0.008568164508758568,2831765,402.0,152.0,250.0,,,,,,,,,,,,,,-0.010562704052237373,-0.010754753216823508,-0.012099097368926445,-0.006529671595928557,-0.003648934127136547,,,,0.032648357979642786,0.005953524102170156,,,,,,,5898000142.0,,,,,,,,,,,,,,,,-0.6915422885572139,-1.3616993566200413,,,-7.179487179486387,-1.4358974358972774,-11.487179487178219,,,,,0.03860188208181294,-0.1903699830186661
2,,2021-02-03,PK2110,10330.0,10304.0,10396.0,10124.0,0,365639,10414.0,10264.0,10566.0,39129,11306.0,9826.0,10330,5,-0.010562704052237373,1828195,272.0,290.0,-18.0,,,,,,,,,,,,,,-0.00019409937888198756,-0.0015527950310559005,0.004076086956521739,0.006987577639751553,0.004852484472049689,,,,0.008928571428571428,0.01746894409937888,,,,,,,3767544256.0,,,,,,,,,,,,,,,,0.3235294117647059,1.0150717003219198,,,-21.49755277960321,-5.448228504638465,-32.09864854992949,,,,,0.0281444099378882,-1.9813310031709317
3,,2021-02-04,PK2110,10348.0,10302.0,10416.0,10232.0,0,163381,10304.0,10308.0,10264.0,34081,10984.0,9544.0,10348,5,-0.00019409937888198756,816905,184.0,72.0,112.0,,,,,,,,,,,,,,-0.0013589594253543,0.0042710153368278,0.007183071248301301,0.005047563579887401,0.009512715977480102,,,,0.0110658124635993,0.0067947971267715,,,,,,,1683151062.0,,,,,,,,,,,,,,,,-0.2391304347826087,-0.5626598465473146,,,-32.629968246596036,-10.884576453029979,-43.490783587132114,,,,,0.0178606095903708,-0.6278668605755667
4,,2021-02-05,PK2110,10340.0,10288.0,10400.0,10266.0,0,102226,10302.0,10326.0,10308.0,27237,11030.0,9586.0,10340,5,-0.0013589594253543,511130,134.0,36.0,98.0,0.05768217011800571,,,,,,,,,,,,,0.005637636080870917,0.008553654743390357,0.006415241057542769,0.01088646967340591,0.007776049766718507,,,,0.01088646967340591,0.0021384136858475893,,,,,,,1051701088.0,,,,-0.15522165509684677,,,,,,1.0778288476270284,,,,,,-0.6716417910447762,-0.43251135626216747,,,-42.096903803394525,-17.127041923102887,-49.93972376058328,,,,,0.0130248833592535,-0.2014431825101146
5,,2021-02-08,PK2110,10290.0,10346.0,10466.0,10284.0,0,92351,10288.0,10386.0,10326.0,25857,11050.0,9602.0,10290,5,0.005637636080870917,461755,182.0,4.0,178.0,0.00658356608401768,,,,,,,,,,,,,0.002899671370578001,0.0007732456988208003,0.005219408467040402,0.002126425671757201,0.02938333655519041,-4.198608964451314,-0.7048133054301134,-0.020800933125972008,0.011598685482312004,0.005992654165861202,,,,,,,955463446.0,,,,1.0421191939768955,,,,,,1.4120049264045254,,,,,,-0.31868131868131866,0.3529604723634575,-0.0013192187650824527,,-44.40750113360809,-22.58313376520393,-43.64873473680833,,0.5405405405405406,0.7029514173069897,,0.017591339648173207,-0.5028343604405303
6,,2021-02-09,PK2110,10380.0,10376.0,10444.0,10354.0,0,67913,10346.0,10394.0,10386.0,21307,11114.0,9658.0,10380,5,0.002899671370578001,339565,90.0,-8.0,98.0,0.006145834528449544,,,,,,,,,,,,,-0.002120277563608327,0.002313030069390902,-0.0007710100231303007,0.0264070932922128,0.031418658442559755,-5.397234464163897,-0.9005298371814209,-0.003286294219988401,0.0065535851966075555,0.002120277563608327,,,,,,,704665288.0,,,,1.808431686887207,,,,,,0.8383735883039195,,,,,,-0.5111111111111111,-0.1924297924297924,0.0036433983556343197,,-43.31856740504918,-26.73022049317298,-33.1766938237524,,0.3333978702807357,0.8780525991659035,,0.009444872783346183,-0.32415350380858504
7,,2021-02-10,PK2110,10398.0,10354.0,10424.0,10290.0,0,43182,10376.0,10352.0,10394.0,18297,11226.0,9562.0,10398,5,-0.002120277563608327,215910,134.0,86.0,48.0,0.0032341696744544028,,,,,,,,,,,,,0.004442727448329148,0.0013521344407958276,0.028587985319683214,0.03361019895692486,0.03438284720880819,-4.748089467406829,-0.9777068569014877,0.009059367771781034,0.006760672203979139,0.006181186015066641,,,,,,,447106428.0,,,,0.8620592833025463,,,,,,-0.2755994093946537,,,,,,-0.04477611940298507,0.466334991708126,0.002485073422623829,,-43.72674106609156,-30.1295246077567,-27.194432916669726,,0.3763583183454405,0.8488412224910652,,0.012941858219045779,-0.9338781111215462
8,,2021-02-18,PK2110,10398.0,10400.0,10498.0,10380.0,0,29513,10354.0,10426.0,10352.0,18231,11182.0,9522.0,10398,5,0.004442727448329148,147565,118.0,-26.0,144.0,0.003471965484271611,,,,,,,,,,,,,-0.003076923076923077,0.02403846153846154,0.029038461538461537,0.02980769230769231,0.044423076923076926,-3.1000879996294755,-0.8662622287806744,0.009271779022599961,0.009423076923076923,0.0019230769230769232,,,,,,,306935200.0,,,,-0.0920606267929739,,,,,,-0.8784687716393992,,,,,,-0.6610169491525424,-0.6162408297495573,0.005381368220926053,,-39.87870913595543,-32.07936151339645,-15.598695245117966,0.6013513513513513,0.32405747503365717,0.5794611320922772,,0.013846153846153847,-0.20388547577343547
9,,2021-02-19,PK2110,10416.0,10368.0,10422.0,10216.0,0,26687,10400.0,10332.0,10426.0,18047,11156.0,9696.0,10416,5,-0.003076923076923077,133435,206.0,184.0,22.0,0.003929929788319582,,,,,,,,,,,,,0.027199074074074073,0.032214506172839504,0.03298611111111111,0.04764660493827161,0.043209876543209874,-2.559516145427439,-0.5040864461631287,0.012307692307692308,0.005208333333333333,0.014660493827160493,,,,,,,276690816.0,,,,0.8111150044563393,,,,,,0.7036353089703878,,,,,,0.47572815533980584,1.1367451044923482,0.0012232022146396737,,-38.962117633585876,-33.45591273743433,-11.012409792303089,0.32947530864197533,0.325887667319973,0.5354079162266542,,0.01986882716049383,-2.880578677245892
