,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,amount,high-low,prevclose-low,high-prevclose,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252,low_close_high,d_low_close_high,mean6,mean12,dif,dea,macd,sma_low_close_high9,sma_low_close_high6,std_vol6,ddif_vol,norm_ATR,sq5_low_close_open_high
0,PX,2023-09-15,PX2405,10000.0,9468.0,10050.0,9410.0,0,235242,9550.0,9620.0,9550.0,30735,11460.0,7640.0,10000,5,-0.008586387434554974,1176210,640.0,140.0,500.0,,,,,,,,,,,,,,-0.012885509083227715,-0.014997887621461765,-0.016687790452049007,-0.03527672158850866,-0.026404731727925644,,,,0.0614702154626109,0.00612589776087875,,,,,,,2227271256.0,,,,,,,,,,,,,,,,-0.81875,,,,0.0,0.0,0.0,,,,,0.06759611322348964,-0.13098264696472794
1,,2023-09-18,PX2405,9450.0,9346.0,9468.0,9290.0,0,123567,9468.0,9374.0,9620.0,35656,10582.0,8658.0,9450,5,-0.012885509083227715,617835,178.0,178.0,0.0,,,,,,,,,,,,,,-0.0021399529210357373,-0.003851915257864327,-0.022683500962978814,-0.013695698694628718,-0.02311149154718596,,,,0.013053712818317997,0.005991868178900064,,,,,,,1154857182.0,,,,,,,,,,,,,,,,-0.3707865168539326,0.4479634831460674,,,-9.732193732192172,-1.9464387464384345,-15.571509971507476,,,,,0.01904558099721806,-0.4851302497756254
2,,2023-09-19,PX2405,9370.0,9326.0,9436.0,9290.0,0,98362,9346.0,9364.0,9374.0,38861,10312.0,8436.0,9370,5,-0.0021399529210357373,491810,146.0,56.0,90.0,,,,,,,,,,,,,,-0.0017156337122024449,-0.020587604546429338,-0.011580527557366502,-0.02101651297447995,-0.042461934377010506,,,,0.011794981771391808,0.0038601758524555007,,,,,,,917324012.0,,,,,,,,,,,,,,,,-0.5068493150684932,-0.13606279821456058,,,-18.841665246223783,-5.325484046395505,-27.032362399656556,,,,,0.01565515762384731,-0.33506627261694266
3,,2023-09-20,PX2405,9358.0,9310.0,9564.0,9254.0,0,217136,9326.0,9414.0,9364.0,47627,10302.0,8426.0,9430,5,-0.0017156337122024449,1085680,310.0,72.0,238.0,,,,,,,,,,,,,,-0.01890440386680988,-0.009881847475832439,-0.01933404940923738,-0.04081632653061224,-0.03544575725026853,,,,0.02728249194414608,0.006015037593984963,,,,,,,2021536160.0,,,,,,,,,,,,,,,,-0.6387096774193548,-0.13186036235086163,,,-27.040349022216105,-9.668457041559625,-34.74378396131296,,,,,0.03329752953813104,-0.2262148493393299
4,,2023-09-21,PX2405,9344.0,9134.0,9346.0,9132.0,0,100829,9310.0,9238.0,9414.0,45964,10356.0,8472.0,9266,5,-0.01890440386680988,504145,214.0,178.0,36.0,0.0073035900551843315,,,,,,,,,,,,,0.009196409021239325,-0.0004379242391066346,-0.022334136194438362,-0.01686008320560543,-0.014013575651412306,,,,0.023209984672651632,0.0002189621195533173,,,,,,,920972086.0,,,,0.5554133283365961,,,,,,-0.6389314102175886,,,,,,-0.9813084112149533,-0.34259873379559846,,,-47.19555313135788,-17.173876259519275,-60.043353743677216,,,,,0.02342894679220495,-0.010569470895989443
5,,2023-09-22,PX2405,9172.0,9218.0,9280.0,9162.0,0,85025,9134.0,9224.0,9238.0,42487,10162.0,8314.0,9180,5,0.009196409021239325,425125,118.0,-28.0,146.0,0.010904112618712563,,,,,,,,,,,,,-0.00954653937947494,-0.03124321978737253,-0.025819049685398134,-0.022998481232371446,-0.0648730744196138,-1.4898193971972349,0.25567835697502395,-0.03240639369389096,0.006725970926448254,0.0060750705142113256,,,,,,,783760450.0,,,,1.8823119925792557,,,,,,-0.9901168805197845,,,,,,-0.05084745762711865,0.9304609535878346,-0.008852729292856965,,-55.74797169970407,-24.888695347556236,-61.71855270429566,,0.09368191721132897,0.4575551634131909,,0.01583857669776524,-0.880913060358229
6,,2023-09-25,PX2405,9254.0,9130.0,9300.0,9066.0,0,85762,9218.0,9168.0,9224.0,42236,10148.0,8300.0,9150,5,-0.00954653937947494,428810,234.0,152.0,82.0,0.010413862142488893,,,,,,,,,,,,,-0.02190580503833516,-0.01642935377875137,-0.013581599123767798,-0.05585980284775466,-0.06900328587075576,-0.44463393119670686,0.15487090168757503,-0.009980472987632893,0.018619934282584884,0.007009857612267251,,,,,,,783007060.0,,,,2.1460079363619,,,,,,0.09212179985834612,,,,,,-0.452991452991453,-0.4021439953643343,-0.012332323669407175,,-68.83322303729801,-33.677600885504596,-70.31124430358683,,0.09105420223471442,0.42490512850157514,,0.025629791894852136,-0.40273988410390604
7,,2023-09-26,PX2405,9120.0,8930.0,9130.0,8890.0,0,81098,9130.0,9022.0,9168.0,46773,10086.0,8250.0,9052,5,-0.02190580503833516,405490,240.0,240.0,0.0,0.012730128831444159,,,,,,,,,,,,,0.005599104143337066,0.00851063829787234,-0.03471444568868981,-0.048152295632698766,-0.0528555431131019,-0.2013012756232364,0.18732834548726204,-0.022562979189485213,0.022396416573348264,0.004479283314669653,,,,,,,724205140.0,,,,2.1466988338025295,,,,,,-0.7367927977985311,,,,,,-0.6666666666666666,-0.21367521367521364,-0.026667635518093258,,-94.2551923412575,-45.79311917665518,-96.92414632920463,,0.05773849179367075,0.47058115584442106,,0.026875699888017916,-0.22220145215544185
8,,2023-09-27,PX2405,8950.0,8980.0,9040.0,8912.0,0,48233,8930.0,8976.0,9022.0,41127,9926.0,8118.0,8960,5,0.005599104143337066,241165,128.0,18.0,110.0,0.014065745727672371,,,,,,,,,,,,,0.0028953229398663697,-0.0400890868596882,-0.053452115812917596,-0.05812917594654789,-0.06570155902004454,-2.0827024094305653,-0.13896906334851303,-0.040313549832026875,0.0066815144766146995,0.0075723830734966595,,,,,,,433132340.0,,,,-1.3482028524326102,,,,,,-0.2921576740965543,,,,,,0.0625,0.7291666666666666,-0.015026872874849162,,-109.10995242451463,-58.45648582622707,-101.30693319657512,0.07758620689655173,0.13086433997022998,0.5682143509602047,,0.014253897550111359,-1.114528441258858
9,,2023-09-28,PX2405,9018.0,9006.0,9166.0,8968.0,0,60168,8980.0,9074.0,8976.0,33209,9874.0,8078.0,9058,5,0.0028953229398663697,300840,198.0,12.0,186.0,0.012820215358074361,,,,,,,,,,,,,-0.04286031534532534,-0.05618476571174772,-0.060848323339995555,-0.06839884521430158,-0.06684432600488563,-0.8430120456948562,-0.3101368930386364,-0.012917594654788419,0.017765933821896514,0.004219409282700422,,,,,,,541873008.0,,,,-0.8335081322084217,,,,,,0.6643291514219014,,,,,,-0.6161616161616161,-0.6786616161616161,-0.006654656421192007,,-117.43080488376836,-70.25134963773533,-94.35891049206606,0.13147668393782383,0.18217255013372052,0.24937569908424548,,0.021985343104596936,-0.2390865007013594
