,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,amount,high-low,prevclose-low,high-prevclose,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252,low_close_high,d_low_close_high,mean6,mean12,dif,dea,macd,sma_low_close_high9,sma_low_close_high6,std_vol6,ddif_vol,norm_ATR,sq5_low_close_open_high
0,SA,2019-12-06,SA2005,1580.0,1561.0,1585.0,1546.0,0,318030,1530.0,1566.0,1530.0,38922,1653.0,1407.0,1580,20,0.020261437908496733,6360600,39.0,-16.0,55.0,,,,,,,,,,,,,,0.007046764894298526,0.04676489429852659,0.05637411915438821,0.044202434336963484,0.044202434336963484,,,,0.015374759769378604,0.009609224855861628,,,,,,,496444830.0,,,,,,,,,,,,,,,,-0.23076923076923078,,,,0.0,0.0,0.0,,,,,0.035233824471492634,-0.663973790968413
1,,2019-12-09,SA2005,1564.0,1572.0,1591.0,1556.0,0,167478,1561.0,1571.0,1566.0,31568,1629.0,1503.0,1564,20,0.007046764894298526,3349560,35.0,5.0,30.0,,,,,,,,,,,,,,0.039440203562340966,0.048982188295165395,0.03689567430025445,0.03689567430025445,0.03816793893129771,,,,0.012086513994910942,0.010178117048346057,,,,,,,263275416.0,,,,,,,,,,,,,,,,-0.08571428571428572,0.14505494505494507,,,0.8774928774928412,0.17549857549856826,1.4039886039885459,,,,,0.022264631043257,-0.820894634025551
2,,2019-12-10,SA2005,1572.0,1634.0,1634.0,1570.0,0,221672,1572.0,1613.0,1571.0,68176,1634.0,1508.0,1576,20,0.039440203562340966,4433440,64.0,2.0,62.0,,,,,,,,,,,,,,0.009179926560587515,-0.0024479804161566705,-0.0024479804161566705,-0.0012239902080783353,-0.006731946144430845,,,,0.0,0.03916768665850673,,,,,,,362212048.0,,,,,,,,,,,,,,,,1.0,1.0857142857142856,,,6.5008563242183754,1.4405701252425298,10.12057239795169,,,,,0.03916768665850673,inf
3,,2019-12-11,SA2005,1649.0,1649.0,1674.0,1637.0,0,459154,1634.0,1656.0,1613.0,66020,1726.0,1500.0,1658,20,0.009179926560587515,9183080,37.0,-3.0,40.0,,,,,,,,,,,,,,-0.011522134627046696,-0.011522134627046696,-0.010309278350515464,-0.015767131594906003,-0.012734990903577926,,,,0.015160703456640388,0.0072771376591873865,,,,,,,757144946.0,,,,,,,,,,,,,,,,-0.35135135135135137,-1.3513513513513513,,,12.029122770237109,3.558280654241446,16.941684231991324,,,,,0.02425712553062462,-0.48
4,,2019-12-12,SA2005,1642.0,1630.0,1654.0,1625.0,0,245622,1649.0,1642.0,1656.0,70048,1723.0,1589.0,1637,20,-0.011522134627046696,4912440,29.0,24.0,5.0,0.0187290641837636,,,,,,,,,,,,,0.0,0.001226993865030675,-0.004294478527607362,-0.001226993865030675,-0.00245398773006135,,,,0.014723926380368098,0.003067484662576687,,,,,,,400363860.0,,,,1.100986135598234,,,,,,-0.503046736802382,,,,,,-0.6551724137931034,-0.30382106244175205,,,14.707632119451318,5.7881509472834205,17.838962344335798,,,,,0.017791411042944787,-0.21611579286538288
5,,2019-12-13,SA2005,1633.0,1630.0,1639.0,1623.0,0,132320,1630.0,1632.0,1642.0,69386,1708.0,1576.0,1633,20,0.0,2646400,16.0,7.0,9.0,0.018923961111212244,,,,,,,,,,,,,0.001226993865030675,-0.004294478527607362,-0.001226993865030675,-0.00245398773006135,-0.011656441717791411,-0.7560804813901035,0.43490178163544996,0.044171779141104296,0.005521472392638037,0.004294478527607362,,,,,,,215681600.0,,,,1.577616799964111,,,,,,-1.8231521244250022,,,,,,-0.125,0.5301724137931034,0.010748243075651143,,16.638570987132653,7.958234955253267,17.36067206375877,,0.65625,0.4581604718505427,,0.0098159509202454,-0.7849616370196105
6,,2019-12-16,SA2005,1634.0,1632.0,1659.0,1626.0,0,277650,1630.0,1642.0,1632.0,77498,1698.0,1566.0,1632,20,0.001226993865030675,5553000,33.0,4.0,29.0,0.019237364990445507,,,,,,,,,,,,,-0.0055147058823529415,-0.0024509803921568627,-0.003676470588235294,-0.012867647058823529,-0.018995098039215685,0.8326178960096735,0.6619490963594962,0.03803680981595092,0.016544117647058824,0.003676470588235294,,,,,,,453124800.0,,,,1.0829268744067764,,,,,,2.0068359375030544,,,,,,-0.6363636363636364,-0.5113636363636364,0.004616805170821747,,18.12134564429448,9.99085709306151,16.260977102465937,,0.6184994045256054,0.4583310300777784,,0.02022058823529412,-0.22358721947969162
7,,2019-12-17,SA2005,1629.0,1623.0,1636.0,1578.0,0,223740,1632.0,1622.0,1642.0,70596,1708.0,1576.0,1617,20,-0.0055147058823529415,4474800,58.0,54.0,4.0,0.007748499288116763,,,,,,,,,,,,,0.0030807147258163892,0.0018484288354898336,-0.0073937153419593345,-0.013555144793592114,-0.01170671595810228,0.00744822618404466,0.03122661229967225,-0.0030637254901960784,0.008009858287122612,0.027726432532347505,,,,,,,363130020.0,,,,1.073896398542125,,,,,,1.5003235085429358,,,,,,0.5517241379310345,1.188087774294671,-0.006123698714023296,,18.3586039011102,11.66440645467125,13.388394892877901,,0.45581214535137493,0.4186996037610533,,0.035736290819470114,-3.5259973687953217
8,,2019-12-18,SA2005,1623.0,1628.0,1650.0,1622.0,0,195192,1623.0,1636.0,1622.0,71800,1687.0,1557.0,1626,20,0.0030807147258163892,3903840,28.0,1.0,27.0,0.005953186638669845,,,,,,,,,,,,,-0.0012285012285012285,-0.010442260442260442,-0.016584766584766583,-0.014742014742014743,-0.015356265356265357,-1.1797711629570036,0.08187432715734602,-0.016019716574245224,0.013513513513513514,0.0036855036855036856,,,,,,,317772576.0,,,,-0.7307023162814298,,,,,,-1.3470063148017373,,,,,,-0.5714285714285714,-1.1231527093596059,-0.002450980392156854,,18.734135539343697,13.07835227160574,11.311566535475915,0.640625,0.45114058849635336,0.4352258810073832,,0.0171990171990172,-0.26856484673010833
9,,2019-12-19,SA2005,1628.0,1626.0,1641.0,1623.0,0,130952,1628.0,1633.0,1636.0,74830,1702.0,1570.0,1633,20,-0.0012285012285012285,2619040,18.0,5.0,13.0,0.003229983854285522,,,,,,,,,,,,,-0.00922509225092251,-0.015375153751537515,-0.013530135301353014,-0.014145141451414513,-0.010455104551045511,-0.587472847247838,0.0666016713091922,-0.0012285012285012285,0.00922509225092251,0.0018450184501845018,,,,,,,212927952.0,,,,0.37761266658549875,,,,,,-0.30976631182499204,,,,,,-0.6666666666666666,-0.09523809523809523,-0.0013307400962228044,,18.655316902183586,14.19374519772131,8.923143408924552,0.572429906542056,0.46035098121108875,0.2989755224498868,,0.01107011070110701,-0.20123304188477506
10,,2019-12-20,SA2005,1626.0,1611.0,1630.0,1611.0,0,134436,1626.0,1620.0,1633.0,84124,1699.0,1567.0,1623,20,-0.00922509225092251,2688720,19.0,15.0,4.0,0.005020606661962892,,,,,,,,,,,,,-0.006207324643078833,-0.004345127250155183,-0.004965859714463066,-0.0012414649286157666,-0.00186219739292365,0.016158592461359887,0.19695309367900574,-0.0024600246002460025,0.011793916821849782,0.0,,,,,,,216576396.0,,,,0.39073761248043537,,,,,,-1.3290205636337171,,,,,,-1.0,-0.33333333333333337,-0.00861538461538458,,17.18438700808747,14.791873559794542,4.785026896585855,0.3584593572778828,0.33032268717030816,0.3326214703716275,,0.011793916821849782,-0.0
11,,2019-12-23,SA2005,1610.0,1601.0,1616.0,1596.0,0,113058,1611.0,1606.0,1620.0,83368,1685.0,1555.0,1610,20,-0.006207324643078833,2261160,20.0,15.0,5.0,0.004799012753859028,,,,,,,,,,,,,0.0018738288569643974,0.0012492192379762648,0.004996876951905059,0.004372267332916927,0.019987507807620236,-1.2243149156475943,0.06977794684037848,-0.013656114214773432,0.009369144284821987,0.003123048094940662,,,,,,,181005858.0,,,,0.6716128668193054,,,,,,-0.9105480970258633,,,,,,-0.5,0.5,-0.011830058635942886,-0.00953755735423012,15.038394788974074,14.84117780563045,0.3944339666872487,0.2136411889596603,0.23762497103373048,0.3585787197361,,0.012492192379762648,-0.34280840847270816
