,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252
0,TA,2010-01-04,TA1003,7673.376022942919,7775.886511468996,7876.533172930964,7643.554789917151,0,721522,7583.912323865615,7785.205646789549,7576.457015609173,167786,7880.260827059185,7272.653204159162,8234,5,0.025313344802162702,,,,,,
1,,2010-01-05,TA1003,7824.346015135869,7801.980090366544,7887.716135315626,7783.341819725439,0,638568,7775.886511468996,7831.801323392311,7785.205646789549,164064,8098.328593560112,7472.082700018986,8396,5,0.0033557046979866534,,,,,,
2,,2010-01-06,TA1003,7777.750338533107,7783.341819725439,7870.941691738632,7777.750338533107,0,526364,7801.980090366544,7829.937496328201,7831.801323392311,168978,8146.788097226986,7516.814549557637,8346,5,-0.0023889154323936974,,,,,,
3,,2010-01-07,TA1003,7828.07366926409,7632.371827532488,7908.218233020842,7514.950722493527,0,632922,7783.341819725439,7725.563180738013,7829.937496328201,135874,8144.924270162875,7514.950722493527,8400,5,-0.019396551724137952,,,,,,
4,,2010-01-08,TA1003,7641.69096285304,7591.367632122057,7660.329233494145,7516.814549557637,0,533380,7632.371827532488,7585.776150929725,7725.563180738013,129848,8034.958473380356,7416.167888095671,8200,5,-0.005372405372405358,0.016296973055918547,,,,,
5,,2010-01-11,TA1003,7688.286639455803,7699.469601840466,7746.065278443229,7651.010098173593,0,449352,7591.367632122057,7695.741947712245,7585.776150929725,127286,7889.579962379737,7281.972339479715,8250,5,0.014240117849251095,0.012314128325077296,,,,,
6,,2010-01-12,TA1003,7641.69096285304,7753.52058669967,7772.158857340775,7626.780346340157,0,725894,7699.469601840466,7716.24404541746,7695.741947712245,157886,8005.137240354587,7386.346655069902,8200,5,0.0070200919874122735,0.012805292246193173,,,,,
7,,2010-01-13,TA1003,7557.818744968068,7619.325038083714,7656.601579365924,7501.903933044753,0,504518,7753.52058669967,7598.822940378499,7716.24404541746,129104,8025.639338059803,7406.848752775118,8110,5,-0.017307692307692316,0.014748245555900647,,,,,
8,,2010-01-14,TA1003,7688.286639455803,7766.567376148444,7785.205646789549,7665.920714686477,0,628582,7619.325038083714,7740.473797250896,7598.822940378499,141304,7904.490578892621,7293.155301864377,8250,5,0.019324853228962866,0.014914875088356025,,,,,
9,,2010-01-15,TA1003,7764.703549084334,7671.512195878809,7779.614165597218,7656.601579365924,0,537972,7766.567376148444,7727.427007802124,7740.473797250896,122620,8051.73291695735,7429.214677544443,8332,5,-0.012239020878329744,0.01620565805250035,,,,,
