,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252
0,Y,2010-01-04,Y1009,7875.261509048525,7894.876108074798,7936.06676602997,7836.03231099598,0,922828,7814.45625206708,7890.953188269544,7765.419754501398,681238,8075.330419116508,7455.509089886287,8030,10,0.010291164658634534,,,,,,,,,,,,,,0.0007453416149068067,0.004968944099378827,-0.023602484472049684,-0.03801242236024852,-0.030807453416149048,,,,0.005217391304347647,0.007453416149068298,,,,,,,7285612729.062449,,,,,,,,,,,,,,,
1,,2010-01-05,Y1009,7932.143846224716,7900.76048778268,7934.105306127343,7865.454209535389,0,789080,7894.876108074798,7906.644867490561,7890.953188269544,667422,8204.786772689908,7577.119603849179,8088,10,0.0007453416149068067,,,,,,,,,,,,,,0.0042204568023832875,-0.024329692154915563,-0.038728897715988135,-0.03152929493545179,-0.040963257199602754,,,,0.0042204568023832875,0.004468718967229356,,,,,,,6234332085.699557,,,,,,,,,,,,,,,
2,,2010-01-06,Y1009,7875.261509048525,7934.105306127343,7983.141803693025,7861.531289730134,0,1015520,7900.76048778268,7939.989685835225,7906.644867490561,698598,8222.439911813553,7590.849823167569,8030,10,0.0042204568023832875,,,,,,,,,,,,,,-0.02843016069221255,-0.042768850432632906,-0.03559950556242267,-0.04499381953028425,-0.07317676143386899,,,,0.00618046971569841,0.009147095179233651,,,,,,,8057242620.478439,,,,,,,,,,,,,,,
3,,2010-01-07,Y1009,7943.91260564048,7708.537417325207,8026.293921550826,7624.194641512234,0,1455800,7934.105306127343,7816.417711969707,7939.989685835225,644090,8255.784730158217,7624.194641512234,8100,10,-0.02843016069221255,,,,,,,,,,,,,,-0.014758269720101864,-0.007379134860050873,-0.017048346055979647,-0.046055979643765975,-0.03918575063613239,,,,0.04122137404580153,0.010941475826971988,,,,,,,11222088772.142036,,,,,,,,,,,,,,,
4,,2010-01-08,Y1009,7708.537417325207,7594.772742972824,7726.190556448852,7504.545587451969,0,1145050,7708.537417325207,7612.42588209647,7816.417711969707,649448,8128.289836487445,7504.545587451969,7860,10,-0.014758269720101864,0.01576644418042925,,,,,,,,,,,,,0.007489669421487706,-0.0023243801652891765,-0.031766528925619826,-0.024793388429752056,-0.031766528925619826,,,,0.017303719008264468,0.01188016528925615,,,,,,,8696394529.341032,,,,0.9081982852013711,,,,,,-0.884273041736277,,,,,
5,,2010-01-11,Y1009,7692.845738104188,7651.655080149016,7732.074936156734,7643.809240538506,0,691840,7594.772742972824,7690.884278201561,7612.42588209647,649770,7916.452167003698,7308.399597189242,7844,10,0.007489669421487706,0.015096692536727095,,,,,,,,,,,,,-0.00974109202768523,-0.03896436811074092,-0.032043065880543536,-0.03896436811074092,-0.04434760317867216,-0.20172743548316668,-0.04845345585789779,-0.026601239669421534,0.010510125608818248,0.001025378108177474,,,,,,,5293721050.650295,,,,0.5656681553324621,,,,,,0.32455579418827435,,,,,
6,,2010-01-12,Y1009,7592.811283070197,7577.119603849179,7618.310261804351,7545.736245407143,0,669838,7651.655080149016,7581.042523654433,7690.884278201561,666748,7996.872023011417,7384.896533391706,7742,10,-0.00974109202768523,0.014620782424238171,,,,,,,,,,,,,-0.029510742945897037,-0.022521356458710912,-0.029510742945897037,-0.034946932435930625,-0.03184053844162567,-0.17235487974098057,-0.0010372901180417686,-0.040246090745962616,0.005436189490033586,0.004141858659073237,,,,,,,5075442641.203126,,,,0.44702418588360904,,,,,,1.5826139018278311,,,,,
7,,2010-01-13,Y1009,7414.318431931115,7353.513174949669,7428.048651249505,7306.438137286615,0,756186,7577.119603849179,7371.166314073314,7581.042523654433,632390,7883.107348659034,7278.977698649833,7560,10,-0.029510742945897037,0.0152022215990468,,,,,,,,,,,,,0.007201920512136571,0.0,-0.005601493731661709,-0.0024006401707121075,-0.0186716457722059,-0.38715928328939236,-0.0992998854139795,-0.06859953404090079,0.01013603627634038,0.006401707121899077,,,,,,,5560623713.71249,,,,1.0065709939480179,,,,,,-1.4309602636131946,,,,,
8,,2010-01-14,Y1009,7422.164271541624,7406.472592320605,7469.239309204679,7394.703832904842,0,764352,7353.513174949669,7426.087191346878,7371.166314073314,672004,7665.385299467406,7076.947328679223,7568,10,0.007201920512136571,0.0156712558108852,,,,,,,,,,,,,-0.00715042372881356,-0.012711864406779594,-0.009533898305084665,-0.02568855932203388,-0.014565677966101687,-0.9143887879437069,0.0441404829298376,-0.03894371832488666,0.008474576271186519,0.001588983050847403,,,,,,,5661152138.885439,,,,1.9942381903742357,,,,,,-0.489504408091739,,,,,
9,,2010-01-15,Y1009,7375.089233878569,7353.513174949669,7437.855950762642,7322.129816507632,0,809754,7406.472592320605,7382.935073489078,7426.087191346878,700094,7722.267636643597,7129.906746050159,7520,10,-0.00715042372881356,0.01519663521117403,,,,,,,,,,,,,-0.005601493731661709,-0.0024006401707121075,-0.0186716457722059,-0.00746865830888236,-0.006134969325153288,-0.43866700159089006,0.07536562282367366,-0.02966101694915251,0.011469725260069454,0.004267804747932759,,,,,,,5954536707.468194,,,,-0.08278135511945083,,,,,,0.6660730068544208,,,,,
