,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252
0,ZN,2010-01-04,ZN1004,19816.34235051676,19844.11578058056,20112.59227119723,19672.84629518716,0,379208,19788.56892045297,19908.92045072941,19645.07286512337,159712,20427.35781192022,18858.15901331588,21405,5,0.002807017543859774,,,,,,,,,,,,,,0.010030324236062638,0.014229064613949183,0.013529274550968001,-0.010496850944716455,0.013995801259621818,,,,0.013529274550968001,0.00863074411010064,,,,,,,7525047456.922393,,,,,,,,,,,,,,,
1,,2010-01-05,ZN1004,19876.51811565498,20043.15869603775,20089.44774614407,19677.47520019779,0,470848,19844.11578058056,19904.29154571878,19908.92045072941,168020,20705.09211255816,19108.11988389003,21470,5,0.010030324236062638,,,,,,,,,,,,,,0.004157043879907533,0.0034642032332561864,-0.020323325635103917,0.003926096997690115,-0.007390300230947209,,,,0.0023094688221707307,0.018244803695150604,,,,,,,9437281185.711983,,,,,,,,,,,,,,,
2,,2010-01-06,ZN1004,19978.35402588889,20126.47898622913,20307.00628164379,19913.54935574004,0,415594,20043.15869603775,20158.88132130355,19904.29154571878,161544,20700.46320754753,19108.11988389003,21580,5,0.004157043879907533,,,,,,,,,,,,,,-0.0006899724011040316,-0.024379024839006346,-0.00022999080036831179,-0.011499540018399501,-0.05933762649494039,,,,0.008969641214351507,0.01057957681692752,,,,,,,8364443907.802909,,,,,,,,,,,,,,,
3,,2010-01-07,ZN1004,20506.04919710097,20112.59227119723,20922.65064805788,19765.42439539981,0,520498,20126.47898622913,20348.66642673948,20158.88132130355,146986,20964.31079315357,19348.82294444291,22150,5,-0.0006899724011040316,,,,,,,,,,,,,,-0.023705408515534928,0.00046029919447615876,-0.01081703107019579,-0.05868814729574235,-0.05132336018411983,,,,0.04027617951668587,0.01726121979286545,,,,,,,10468564051.973616,,,,,,,,,,,,,,,
4,,2010-01-08,ZN1004,19922.80716576131,19635.81505510211,20094.0766511547,19348.82294444291,0,614318,20112.59227119723,19686.73301021906,20348.66642673948,140680,21158.72480360012,19348.82294444291,21520,5,-0.023705408515534928,0.013011872215749528,,,,,,,,,,,,,0.024752475247524316,0.013201320132012858,-0.03583215464403612,-0.028288543140028613,-0.034889203206035134,,,,0.02333804809052312,0.014615747289014613,,,,,,,12062634633.020218,,,,0.6297942231447122,,,,,,-1.031708364336973,,,,,
5,,2010-01-11,ZN1004,19913.54935574004,20121.85008121849,20163.51022631419,19765.42439539981,0,373446,19635.81505510211,20001.49855094205,19686.73301021906,135738,20473.64686202655,18895.19025340094,21510,5,0.024752475247524316,0.017682531112714103,,,,,,,,,,,,,-0.01127214170692423,-0.05912123303427639,-0.05175983436852993,-0.05820105820105804,-0.054520358868184994,-0.00937950703056072,-0.17041512652829116,0.003536067892503368,0.0020703933747416095,0.01771336553945234,,,,,,,7514424425.43072,,,,0.5658558539412826,,,,,,-2.101204499223632,,,,,
6,,2010-01-12,ZN1004,19996.86964593142,19895.03373569751,19996.86964593142,19557.12366992136,0,448548,20121.85008121849,19779.31111043171,20001.49855094205,147190,20797.6702127708,19200.69798410267,21600,5,-0.01127214170692423,0.018099140559096293,,,,,,,,,,,,,-0.048394602140530436,-0.04094927873429501,-0.047463936714750965,-0.04374127501163343,-0.02512796649604451,-0.05971412198818571,-0.15345739586556453,-0.0023004370830461526,0.0051186598417868314,0.016984644020474435,,,,,,,8923877592.079647,,,,0.7698529892162447,,,,,,-1.3485104475186613,,,,,
7,,2010-01-13,ZN1004,18992.39725862422,18932.221493486,19284.01827429405,18816.49886822019,0,360390,19895.03373569751,19071.08864380497,19779.31111043171,134540,20566.22496223919,18816.49886822019,20515,5,-0.048394602140530436,0.02711401517447914,,,,,,,,,,,,,0.007823960880195564,0.0009779951100244934,0.004889975550122083,0.024449877750611373,0.01500236173446721,-0.12307267003754337,-0.18346355051294244,-0.057003257328990344,0.018581907090464412,0.006112469437652843,,,,,,,6822983304.037419,,,,0.6272484805090444,,,,,,-1.4456677310156623,,,,,
8,,2010-01-14,ZN1004,19381.22527951733,19080.34645382623,19408.99870958112,18997.02616363485,0,360666,18932.221493486,19168.29564902824,19071.08864380497,142024,19830.22906554866,18307.31931705064,20935,5,0.007823960880195564,0.028235188705996526,,,,,,,,,,,,,-0.006792819019893177,-0.0029112081513829537,0.0164968461911695,0.007122673336722716,0.005920856304101123,-0.4434973223452371,-0.036881224914523565,-0.03863080684596586,0.017224648229014903,0.0043668122270741445,,,,,,,6881632234.115691,,,,1.695302736118028,,,,,,-0.17565283624914863,,,,,
9,,2010-01-15,ZN1004,19024.79959369864,18950.73711352853,19297.90498932595,18700.77624295439,0,412092,19080.34645382623,19020.17068868801,19168.29564902824,133166,19932.06497578257,18399.89741726329,20550,5,-0.006792819019893177,0.027200768483820602,,,,,,,,,,,,,0.003908158280410147,0.023448949682462222,0.014010664263305009,0.012800627671105154,-0.03535882869844068,-0.5607015909456394,-0.05290655100546387,-0.032023289665211535,0.01831949193942364,0.013190034196384676,,,,,,,7809447158.588199,,,,1.0054758770006917,,,,,,0.6539511571194128,,,,,
