期货代码,期货名称,secid,归属交易所
RM,菜粕主连,115.RMM,郑商所
OI,菜油主连,115.OIM,郑商所
A,豆一主连,114.am,大商所
C,玉米主连,114.cm,大商所
SH,烧碱主连,115.SHM,郑商所
JD,鸡蛋主连,114.jdm,大商所
SA,纯碱主连,115.SAM,郑商所
LH,生猪主连,114.lhm,大商所
CS,淀粉主连,114.csm,大商所
SP,纸浆主连,113.spm,上期所
ZN,沪锌主连,113.znm,上期所
AU,沪金主连,113.aum,上期所
B,豆二主连,114.bm,大商所
M,豆粕主连,114.mm,大商所
CF,棉花主连,115.CFM,郑商所
PB,沪铅主连,113.pbm,上期所
AO,氧化铝主连,113.aom,上期所
PK,花生主连,115.PKM,郑商所
Y,豆油主连,114.ym,大商所
SR,白糖主连,115.SRM,郑商所
AL,沪铝主连,113.alm,上期所
V,PVC主连,114.vm,大商所
SF,硅铁主连,115.SFM,郑商所
L,塑料主连,114.lm,大商所
SS,不锈钢主连,113.ssm,上期所
SM,锰硅主连,115.SMM,郑商所
RU,橡胶主连,113.rum,上期所
BR,丁二烯胶主连,113.brm,上期所
PF,短纤主连,115.PFM,郑商所
I,铁矿石主连,114.im,大商所
TA,PTA主连,115.TAM,郑商所
P,棕榈油主连,114.pm,大商所
PP,聚丙烯主连,114.ppm,大商所
HC,热卷主连,113.hcm,上期所
SN,沪锡主连,113.snm,上期所
FG,玻璃主连,115.FGM,郑商所
AG,沪银主连,113.agm,上期所
CU,沪铜主连,113.cum,上期所
MA,甲醇主连,115.MAM,郑商所
RB,螺纹钢主连,113.rbm,上期所
PX,对二甲苯主连,115.PXM,郑商所
NI,沪镍主连,113.nim,上期所
J,焦炭主连,114.jm,大商所
BU,沥青主连,113.bum,上期所
EB,苯乙烯主连,114.ebm,大商所
JM,焦煤主连,114.jmm,大商所
EG,乙二醇主连,114.egm,大商所
PG,LPG主连,114.pgm,大商所
FU,燃油主连,113.fum,上期所
SC,原油主连,142.scm,上期能源所
LU,低硫燃料油主连,142.lum,上期能源所
NR,天然橡胶主连,142.nrm,上期能源所
LC,碳酸锂主连,225.lcm,上期能源所
SI,工业硅主连,225.sim,上期能源所
