期货名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
菜油409,2013-09-16,7564,7500,7574,7500,55,4144800,0.00,0.00,0,0.00
菜油409,2013-09-17,7556,7556,7572,7536,22,1662949,0.48,0.27,20,0.00
菜油409,2013-09-18,7568,7548,7582,7548,24,1815149,0.45,-0.16,-12,0.00
菜油409,2013-09-23,7500,7520,7520,7488,59,4429300,0.42,-0.58,-44,0.00
菜油409,2013-09-24,7552,7560,7560,7542,34,2567550,0.24,0.69,52,0.00
菜油409,2013-09-25,7528,7458,7528,7458,63,4727650,0.93,-1.24,-94,0.00
菜油409,2013-09-26,7480,7434,7480,7424,112,8336650,0.75,-0.93,-70,0.00
菜油409,2013-09-27,7418,7332,7442,7300,109,8020750,1.91,-1.50,-112,0.00
菜油409,2013-09-30,7266,7294,7376,7266,106,7782450,1.49,-0.87,-64,0.00
菜油409,2013-10-08,7260,7310,7350,7260,166,12111900,1.23,-0.44,-32,0.00
菜油409,2013-10-09,7324,7330,7364,7318,360,26444000,0.63,0.47,34,0.00
菜油409,2013-10-10,7356,7350,7370,7344,154,11332150,0.35,0.05,4,0.00
菜油409,2013-10-11,7366,7344,7388,7340,413,30411650,0.65,-0.22,-16,0.00
菜油409,2013-10-14,7302,7348,7364,7300,436,32027050,0.87,-0.22,-16,0.00
菜油409,2013-10-15,7352,7410,7410,7350,284,20950750,0.82,0.87,64,0.00
菜油409,2013-10-16,7440,7414,7440,7394,201,14896600,0.62,0.49,36,0.00
菜油409,2013-10-17,7456,7468,7534,7434,247,18474400,1.35,0.76,56,0.00
菜油409,2013-10-18,7458,7460,7478,7430,171,12749849,0.64,-0.27,-20,0.00
菜油409,2013-10-21,7530,7532,7566,7500,407,30662300,0.89,1.02,76,0.00
菜油409,2013-10-22,7504,7452,7508,7438,766,57213500,0.93,-1.09,-82,0.00
菜油409,2013-10-23,7466,7458,7496,7420,608,45285850,1.02,-0.16,-12,0.00
菜油409,2013-10-24,7452,7470,7500,7422,1059,79007200,1.05,0.30,22,0.00
菜油409,2013-10-25,7452,7440,7480,7430,586,43699300,0.67,-0.29,-22,0.00
菜油409,2013-10-28,7420,7442,7442,7382,948,70364400,0.80,-0.21,-16,0.00
菜油409,2013-10-29,7410,7332,7422,7316,2874,211378752,1.43,-1.21,-90,0.00
菜油409,2013-10-30,7408,7472,7512,7380,1295,96483900,1.79,1.58,116,0.00
菜油409,2013-10-31,7424,7474,7494,7424,470,35102300,0.94,0.32,24,0.00
菜油409,2013-11-01,7474,7598,7600,7470,992,74803850,1.74,1.71,128,0.00
菜油409,2013-11-04,7586,7656,7698,7586,1024,78201250,1.49,1.51,114,0.00
菜油409,2013-11-05,7632,7610,7650,7572,851,64711300,1.02,-0.37,-28,0.00
菜油409,2013-11-06,7592,7546,7616,7546,664,50361700,0.92,-0.76,-58,0.00
菜油409,2013-11-07,7528,7524,7568,7522,1311,98861950,0.61,-0.82,-62,0.00
菜油409,2013-11-08,7488,7518,7552,7488,1123,84612700,0.85,-0.32,-24,0.00
菜油409,2013-11-11,7528,7494,7558,7490,981,73734800,0.90,-0.56,-42,0.00
菜油409,2013-11-12,7502,7602,7604,7498,873,65915600,1.41,1.14,86,0.00
菜油409,2013-11-13,7642,7614,7644,7594,872,66437150,0.66,0.85,64,0.00
菜油409,2013-11-14,7614,7692,7706,7602,959,73348500,1.36,0.94,72,0.00
菜油409,2013-11-15,7680,7686,7746,7666,2171,167355904,1.05,0.50,38,0.00
菜油409,2013-11-18,7640,7588,7654,7584,1579,120262200,0.91,-1.58,-122,0.00
菜油409,2013-11-19,7572,7546,7632,7534,2483,188549104,1.29,-0.92,-70,0.00
菜油409,2013-11-20,7548,7606,7616,7534,1917,145232600,1.08,0.16,12,0.00
菜油409,2013-11-21,7616,7654,7664,7592,2190,167217400,0.95,1.03,78,0.00
菜油409,2013-11-22,7738,7656,7738,7656,1681,129387300,1.07,0.26,20,0.00
菜油409,2013-11-25,7650,7646,7706,7622,1375,105385450,1.09,-0.68,-52,0.00
菜油409,2013-11-26,7620,7568,7656,7566,3049,231685952,1.17,-1.25,-96,0.00
菜油409,2013-11-27,7552,7626,7628,7552,1578,119747600,1.00,0.34,26,0.00
菜油409,2013-11-28,7606,7608,7656,7598,1576,120114800,0.76,0.24,18,0.00
菜油409,2013-11-29,7622,7622,7632,7580,4541,345487056,0.68,0.00,0,0.00
菜油409,2013-12-02,7628,7628,7652,7610,2604,198752200,0.55,0.26,20,0.00
菜油409,2013-12-03,7612,7572,7626,7570,2025,153840352,0.73,-0.81,-62,0.00
菜油409,2013-12-04,7552,7572,7594,7546,1479,111926950,0.63,-0.34,-26,0.00
菜油409,2013-12-05,7598,7512,7626,7512,4089,309777808,1.51,-0.74,-56,0.00
菜油409,2013-12-06,7532,7526,7542,7490,2181,164034600,0.69,-0.66,-50,0.00
菜油409,2013-12-09,7520,7532,7562,7512,2857,215345504,0.66,0.13,10,0.00
菜油409,2013-12-10,7504,7556,7560,7502,1552,116886350,0.77,0.24,18,0.00
菜油409,2013-12-11,7548,7570,7588,7516,2899,219060400,0.96,0.50,38,0.00
菜油409,2013-12-12,7584,7514,7584,7510,3015,227427104,0.98,-0.56,-42,0.00
菜油409,2013-12-13,7476,7362,7484,7348,7664,567243312,1.80,-2.41,-182,0.00
