期货名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
菜粕主连,2012-12-31,2430,2398,2458,2385,210558,0,0.00,0.00,0,0.00
菜粕主连,2013-01-01,2399,2340,2399,2336,118597,0,2.63,-2.42,-58,0.00
菜粕主连,2013-01-07,2322,2370,2380,2316,96941,0,2.74,1.28,30,0.00
菜粕主连,2013-01-08,2365,2455,2457,2360,203030,0,4.09,3.59,85,0.00
菜粕主连,2013-01-09,2470,2480,2500,2438,449791,0,2.53,1.02,25,0.00
菜粕主连,2013-01-10,2488,2478,2514,2472,348402,0,1.69,-0.08,-2,0.00
菜粕主连,2013-01-11,2473,2462,2490,2459,295543,0,1.25,-0.65,-16,0.00
菜粕主连,2013-01-14,2465,2509,2525,2463,810735,0,2.52,1.91,47,0.00
菜粕主连,2013-01-15,2527,2541,2548,2505,649880,0,1.71,1.28,32,0.00
菜粕主连,2013-01-16,2549,2562,2618,2542,837167,0,2.99,0.83,21,0.00
菜粕主连,2013-01-17,2565,2586,2595,2542,535434,0,2.07,0.94,24,0.00
菜粕主连,2013-01-18,2602,2571,2612,2565,407703,0,1.82,-0.58,-15,0.00
菜粕主连,2013-01-21,2580,2573,2612,2561,473696,0,1.98,0.08,2,0.00
菜粕主连,2013-01-22,2575,2573,2591,2562,284420,0,1.13,0.00,0,0.00
菜粕主连,2013-01-23,2574,2591,2595,2574,271763,0,0.82,0.70,18,0.00
菜粕主连,2013-01-24,2591,2576,2604,2573,205813,0,1.20,-0.58,-15,0.00
菜粕主连,2013-01-25,2569,2493,2569,2486,385763,0,3.22,-3.22,-83,0.00
菜粕主连,2013-01-28,2500,2504,2518,2493,297785,0,1.00,0.44,11,0.00
菜粕主连,2013-01-29,2513,2521,2524,2484,277468,0,1.60,0.68,17,0.00
菜粕主连,2013-01-30,2521,2515,2528,2506,187622,0,0.87,-0.24,-6,0.00
菜粕主连,2013-01-31,2518,2531,2538,2516,150737,0,0.87,0.64,16,0.00
菜粕主连,2013-02-01,2542,2537,2550,2533,87179,0,0.67,0.24,6,0.00
菜粕主连,2013-02-04,2530,2521,2532,2477,319802,0,2.17,-0.63,-16,0.00
菜粕主连,2013-02-05,2521,2561,2579,2520,248182,0,2.34,1.59,40,0.00
菜粕主连,2013-02-06,2558,2586,2614,2549,493112,0,2.54,0.98,25,0.00
菜粕主连,2013-02-07,2600,2579,2609,2576,154408,0,1.28,-0.27,-7,0.00
菜粕主连,2013-02-08,2576,2567,2586,2563,86485,0,0.89,-0.47,-12,0.00
菜粕主连,2013-02-11,2572,2586,2602,2572,68615,0,1.17,0.74,19,0.00
菜粕主连,2013-02-19,2540,2569,2574,2532,35344,0,1.62,-0.66,-17,0.00
菜粕主连,2013-02-20,2484,2541,2549,2484,133757,0,2.53,-1.09,-28,0.00
菜粕主连,2013-02-21,2556,2544,2562,2543,325842,0,0.75,0.12,3,0.00
菜粕主连,2013-02-22,2535,2582,2584,2517,771507,0,2.63,1.49,38,0.00
菜粕主连,2013-02-25,2580,2572,2639,2565,1245577,0,2.87,-0.39,-10,0.00
菜粕主连,2013-02-26,2550,2503,2560,2496,841630,0,2.49,-2.68,-69,0.00
菜粕主连,2013-02-27,2496,2498,2538,2482,961624,0,2.24,-0.20,-5,0.00
菜粕主连,2013-02-28,2518,2514,2538,2494,824501,0,1.76,0.64,16,0.00
